model,effect,metric,value,cv1,n
base,fz,mspe,0.07795459032058716,0.3,12800
base,fz,bias2,0.07795459032058716,0.3,12800
base,fz,var,0.0,0.3,12800
posthoc,y,mspe,1.0045530796051025,0.3,12800
posthoc,y,bias2,1.0024476051330566,0.3,12800
posthoc,y,var,0.0021054346580058336,0.3,12800
posthoc,fx,mspe,0.0022822723258286715,0.3,12800
posthoc,fx,bias2,0.00039663075585849583,0.3,12800
posthoc,fx,var,0.0018856418319046497,0.3,12800
posthoc,fr,mspe,0.02311275526881218,0.3,12800
posthoc,fr,bias2,0.021227112039923668,0.3,12800
posthoc,fr,var,0.0018856418319046497,0.3,12800
posthoc,fz,mspe,0.000547166564501822,0.3,12800
posthoc,fz,bias2,9.298720215156209e-06,0.3,12800
posthoc,fz,var,0.0005378678324632347,0.3,12800
posthoc_orth,y,mspe,1.0044150352478027,0.3,12800
posthoc_orth,y,bias2,1.0023518800735474,0.3,12800
posthoc_orth,y,var,0.0020630324725061655,0.3,12800
posthoc_orth,fx,mspe,0.02155354991555214,0.3,12800
posthoc_orth,fx,bias2,0.01993739791214466,0.3,12800
posthoc_orth,fx,var,0.0016161510720849037,0.3,12800
posthoc_orth,fr,mspe,0.001994855236262083,0.3,12800
posthoc_orth,fr,bias2,0.00037870428059250116,0.3,12800
posthoc_orth,fr,var,0.0016161510720849037,0.3,12800
posthoc_orth,fz,mspe,0.02035464346408844,0.3,12800
posthoc_orth,fz,bias2,0.02006571926176548,0.3,12800
posthoc_orth,fz,var,0.0002889211755245924,0.3,12800
base,y,mspe,1.0583946704864502,0.4,12800
base,y,bias2,1.0561895370483398,0.4,12800
base,y,var,0.0022049995604902506,0.4,12800
base,fx,mspe,0.04396551102399826,0.4,12800
base,fx,bias2,0.042311545461416245,0.4,12800
base,fx,var,0.00165397091768682,0.4,12800
base,fr,mspe,0.10665066540241241,0.4,12800
base,fr,bias2,0.1049967035651207,0.4,12800
base,fr,var,0.00165397091768682,0.4,12800
base,fz,mspe,0.07795459032058716,0.4,12800
base,fz,bias2,0.07795459032058716,0.4,12800
base,fz,var,0.0,0.4,12800
posthoc,y,mspe,1.0051240921020508,0.4,12800
posthoc,y,bias2,1.0030486583709717,0.4,12800
posthoc,y,var,0.0020752865821123123,0.4,12800
posthoc,fx,mspe,0.0023078254889696836,0.4,12800
posthoc,fx,bias2,0.00035868704435415566,0.4,12800
posthoc,fx,var,0.0019491383573040366,0.4,12800
posthoc,fr,mspe,0.02355990931391716,0.4,12800
posthoc,fr,bias2,0.021610770374536514,0.4,12800
posthoc,fr,var,0.0019491383573040366,0.4,12800
posthoc,fz,mspe,0.0006411481881514192,0.4,12800
posthoc,fz,bias2,2.1437666873680428e-05,0.4,12800
posthoc,fz,var,0.0006197105394676328,0.4,12800
posthoc_orth,y,mspe,1.0051226615905762,0.4,12800
posthoc_orth,y,bias2,1.0030447244644165,0.4,12800
posthoc_orth,y,var,0.0020779918413609266,0.4,12800
posthoc_orth,fx,mspe,0.021552996709942818,0.4,12800
posthoc_orth,fx,bias2,0.019909311085939407,0.4,12800
posthoc_orth,fx,var,0.0016436864389106631,0.4,12800
posthoc_orth,fr,mspe,0.001962460344657302,0.4,12800
posthoc_orth,fr,bias2,0.0003187737602274865,0.4,12800
posthoc_orth,fr,var,0.0016436864389106631,0.4,12800
posthoc_orth,fz,mspe,0.02035464346408844,0.4,12800
posthoc_orth,fz,bias2,0.02006572298705578,0.4,12800
posthoc_orth,fz,var,0.0002889212337322533,0.4,12800
base,y,mspe,1.0523648262023926,0.5,12800
base,y,bias2,1.0500805377960205,0.5,12800
base,y,var,0.002284219954162836,0.5,12800
base,fx,mspe,0.049924179911613464,0.5,12800
base,fx,bias2,0.04832293465733528,0.5,12800
base,fx,var,0.0016012410633265972,0.5,12800
base,fr,mspe,0.11880696564912796,0.5,12800
base,fr,bias2,0.11720571666955948,0.5,12800
base,fr,var,0.0016012410633265972,0.5,12800
base,fz,mspe,0.07795459032058716,0.5,12800
base,fz,bias2,0.07795459032058716,0.5,12800
base,fz,var,0.0,0.5,12800
posthoc,y,mspe,1.0054439306259155,0.5,12800
posthoc,y,bias2,1.003237247467041,0.5,12800
posthoc,y,var,0.0022066987585276365,0.5,12800
posthoc,fx,mspe,0.00270079099573195,0.5,12800
posthoc,fx,bias2,0.0004270077624823898,0.5,12800
posthoc,fx,var,0.0022737830877304077,0.5,12800
posthoc,fr,mspe,0.0245224516838789,0.5,12800
posthoc,fr,bias2,0.02224866859614849,0.5,12800
posthoc,fr,var,0.0022737830877304077,0.5,12800
posthoc,fz,mspe,0.0008647646754980087,0.5,12800
posthoc,fz,bias2,3.856099283439107e-05,0.5,12800
posthoc,fz,var,0.0008262036717496812,0.5,12800
posthoc_orth,y,mspe,1.0054407119750977,0.5,12800
posthoc_orth,y,bias2,1.0032342672348022,0.5,12800
