model,effect,metric,value,bz,n
posthoc_orth_xfit,fx,mspe,0.020965225994586945,1.5,12800
posthoc_orth_xfit,fx,bias2,0.019840877503156662,1.5,12800
posthoc_orth_xfit,fx,var,0.0011243483750149608,1.5,12800
posthoc_orth_xfit,fr,mspe,0.0016789487563073635,1.5,12800
posthoc_orth_xfit,fr,bias2,0.0005546005559153855,1.5,12800
posthoc_orth_xfit,fr,var,0.0011243483750149608,1.5,12800
posthoc_orth_xfit,fz,mspe,0.021032080054283142,1.5,12800
posthoc_orth_xfit,fz,bias2,0.019572481513023376,1.5,12800
posthoc_orth_xfit,fz,var,0.0014595957472920418,1.5,12800
posthoc_xfit,y,mspe,1.0048837661743164,2,12800
posthoc_xfit,y,bias2,1.0026087760925293,2,12800
posthoc_xfit,y,var,0.002275023376569152,2,12800
posthoc_xfit,fx,mspe,0.0019315369427204132,2,12800
posthoc_xfit,fx,bias2,0.0006266651907935739,2,12800
posthoc_xfit,fx,var,0.0013048718683421612,2,12800
posthoc_xfit,fr,mspe,0.020739441737532616,2,12800
posthoc_xfit,fr,bias2,0.019434567540884018,2,12800
posthoc_xfit,fr,var,0.0013048718683421612,2,12800
posthoc_xfit,fz,mspe,0.0017181086586788297,2,12800
posthoc_xfit,fz,bias2,7.235997327370569e-05,2,12800
posthoc_xfit,fz,var,0.0016457486199215055,2,12800
posthoc_orth_xfit,y,mspe,1.0048753023147583,2,12800
posthoc_orth_xfit,y,bias2,1.0025984048843384,2,12800
posthoc_orth_xfit,y,var,0.0022769072093069553,2,12800
posthoc_orth_xfit,fx,mspe,0.0209946446120739,2,12800
posthoc_orth_xfit,fx,bias2,0.019826851785182953,2,12800
posthoc_orth_xfit,fx,var,0.0011677939910441637,2,12800
posthoc_orth_xfit,fr,mspe,0.0017785349627956748,2,12800
posthoc_orth_xfit,fr,bias2,0.0006107411463744938,2,12800
posthoc_orth_xfit,fr,var,0.0011677939910441637,2,12800
posthoc_orth_xfit,fz,mspe,0.02118399180471897,2,12800
posthoc_orth_xfit,fz,bias2,0.019573621451854706,2,12800
posthoc_orth_xfit,fz,var,0.0016103696543723345,2,12800
posthoc_xfit,y,mspe,1.0053343772888184,2.5,12800
posthoc_xfit,y,bias2,1.0030676126480103,2.5,12800
posthoc_xfit,y,var,0.0022666139993816614,2.5,12800
posthoc_xfit,fx,mspe,0.0019885487854480743,2.5,12800
posthoc_xfit,fx,bias2,0.0006958761950954795,2.5,12800
posthoc_xfit,fx,var,0.001292672473937273,2.5,12800
posthoc_xfit,fr,mspe,0.020697420462965965,2.5,12800
posthoc_xfit,fr,bias2,0.01940474659204483,2.5,12800
posthoc_xfit,fr,var,0.001292672473937273,2.5,12800
posthoc_xfit,fz,mspe,0.0019069333793595433,2.5,12800
posthoc_xfit,fz,bias2,8.208027429645881e-05,2.5,12800
posthoc_xfit,fz,var,0.0018248531268909574,2.5,12800
posthoc_orth_xfit,y,mspe,1.0053099393844604,2.5,12800
posthoc_orth_xfit,y,bias2,1.0030382871627808,2.5,12800
posthoc_orth_xfit,y,var,0.002271746750921011,2.5,12800
posthoc_orth_xfit,fx,mspe,0.021057238802313805,2.5,12800
posthoc_orth_xfit,fx,bias2,0.01990465074777603,2.5,12800
posthoc_orth_xfit,fx,var,0.0011525875888764858,2.5,12800
posthoc_orth_xfit,fr,mspe,0.0018286299891769886,2.5,12800
posthoc_orth_xfit,fr,bias2,0.0006760423420928419,2.5,12800
posthoc_orth_xfit,fr,var,0.0011525875888764858,2.5,12800
posthoc_orth_xfit,fz,mspe,0.02137804962694645,2.5,12800
posthoc_orth_xfit,fz,bias2,0.019576268270611763,2.5,12800
posthoc_orth_xfit,fz,var,0.0018017844995483756,2.5,12800
posthoc_xfit,y,mspe,1.0054173469543457,3,12800
posthoc_xfit,y,bias2,1.003115177154541,3,12800
posthoc_xfit,y,var,0.0023020815569907427,3,12800
posthoc_xfit,fx,mspe,0.0020142323337495327,3,12800
posthoc_xfit,fx,bias2,0.0006665567052550614,3,12800
posthoc_xfit,fx,var,0.0013476753374561667,3,12800
posthoc_xfit,fr,mspe,0.020441992208361626,3,12800
posthoc_xfit,fr,bias2,0.01909431628882885,3,12800
posthoc_xfit,fr,var,0.0013476753374561667,3,12800
posthoc_xfit,fz,mspe,0.0021645789965987206,3,12800
posthoc_xfit,fz,bias2,9.562200284563005e-05,3,12800
posthoc_xfit,fz,var,0.0020689568482339382,3,12800
posthoc_orth_xfit,y,mspe,1.0054932832717896,3,12800
posthoc_orth_xfit,y,bias2,1.003178596496582,3,12800
posthoc_orth_xfit,y,var,0.0023146485909819603,3,12800
posthoc_orth_xfit,fx,mspe,0.02108301967382431,3,12800
posthoc_orth_xfit,fx,bias2,0.019889310002326965,3,12800
posthoc_orth_xfit,fx,var,0.0011937092058360577,3,12800
posthoc_orth_xfit,fr,mspe,0.0018305748235434294,3,12800
posthoc_orth_xfit,fr,bias2,0.0006368655012920499,3,12800
posthoc_orth_xfit,fr,var,0.0011937092058360577,3,12800
posthoc_orth_xfit,fz,mspe,0.021614186465740204,3,12800
posthoc_orth_xfit,fz,bias2,0.019580353051424026,3,12800
posthoc_orth_xfit,fz,var,0.002033831086009741,3,12800
posthoc_xfit,y,mspe,1.0052502155303955,3.5,12800
posthoc_xfit,y,bias2,1.0030159950256348,3.5,12800
posthoc_xfit,y,var,0.00223421398550272,3.5,12800
posthoc_xfit,fx,mspe,0.00199090875685215,3.5,12800
posthoc_xfit,fx,bias2,0.0007146658026613295,3.5,12800
posthoc_xfit,fx,var,0.0012762428959831595,3.5,12800
posthoc_xfit,fr,mspe,0.02043456956744194,3.5,12800
posthoc_xfit,fr,bias2,0.01915832795202732,3.5,12800
posthoc_xfit,fr,var,0.0012762428959831595,3.5,12800
posthoc_xfit,fz,mspe,0.0024083093740046024,3.5,12800
posthoc_xfit,fz,bias2,0.00010450351692270488,3.5,12800
posthoc_xfit,fz,var,0.0023038059007376432,3.5,12800
posthoc_orth_xfit,y,mspe,1.005255937576294,3.5,12800
posthoc_orth_xfit,y,bias2,1.0030156373977661,3.5,12800
posthoc_orth_xfit,y,var,0.0022402286995202303,3.5,12800
posthoc_orth_xfit,fx,mspe,0.021052636206150055,3.5,12800
posthoc_orth_xfit,fx,bias2,0.019919734448194504,3.5,12800
posthoc_orth_xfit,fx,var,0.001132903271354735,3.5,12800
posthoc_orth_xfit,fr,mspe,0.0018207419198006392,3.5,12800
posthoc_orth_xfit,fr,bias2,0.0006878385902382433,3.5,12800
posthoc_orth_xfit,fr,var,0.001132903271354735,3.5,12800
posthoc_orth_xfit,fz,mspe,0.021892309188842773,3.5,12800
posthoc_orth_xfit,fz,bias2,0.01958584226667881,3.5,12800
posthoc_orth_xfit,fz,var,0.002306465758010745,3.5,12800
posthoc_xfit,y,mspe,1.0054491758346558,4,12800
posthoc_xfit,y,bias2,1.0031498670578003,4,12800
posthoc_xfit,y,var,0.0022991658188402653,4,12800
posthoc_xfit,fx,mspe,0.001996007515117526,4,12800
posthoc_xfit,fx,bias2,0.0006802387651987374,4,12800
posthoc_xfit,fx,var,0.0013157689245417714,4,12800
posthoc_xfit,fr,mspe,0.02054760418832302,4,12800
posthoc_xfit,fr,bias2,0.019231833517551422,4,12800
posthoc_xfit,fr,var,0.0013157689245417714,4,12800
posthoc_xfit,fz,mspe,0.0026997230015695095,4,12800
posthoc_xfit,fz,bias2,0.00010739878052845597,4,12800
posthoc_xfit,fz,var,0.002592324046418071,4,12800
posthoc_orth_xfit,y,mspe,1.0054055452346802,4,12800
posthoc_orth_xfit,y,bias2,1.0031189918518066,4,12800
posthoc_orth_xfit,y,var,0.0022865887731313705,4,12800
posthoc_orth_xfit,fx,mspe,0.021040277555584908,4,12800
posthoc_orth_xfit,fx,bias2,0.01987529918551445,4,12800
posthoc_orth_xfit,fx,var,0.0011649769730865955,4,12800
posthoc_orth_xfit,fr,mspe,0.0018252239096909761,4,12800
posthoc_orth_xfit,fr,bias2,0.0006602469366043806,4,12800
posthoc_orth_xfit,fr,var,0.0011649769730865955,4,12800
posthoc_orth_xfit,fz,mspe,0.022212548181414604,4,12800
posthoc_orth_xfit,fz,bias2,0.019592802971601486,4,12800
