model,effect,metric,value,bz,n
base,fr,mspe,0.11969961225986481,1,12800
base,fr,bias2,0.11562474071979523,1,12800
base,fr,var,0.00407487154006958,1,12800
base,fz,mspe,0.07795459032058716,1,12800
base,fz,bias2,0.07795459032058716,1,12800
base,fz,var,0.0,1,12800
posthoc_web,y,mspe,0.2516060173511505,1,12800
posthoc_web,y,bias2,0.2513332664966583,1,12800
posthoc_web,y,var,0.000272748147835955,1,12800
posthoc_web,fx,mspe,0.04185048118233681,1,12800
posthoc_web,fx,bias2,0.038213882595300674,1,12800
posthoc_web,fx,var,0.0036365974228829145,1,12800
posthoc_web,fr,mspe,0.02061002515256405,1,12800
posthoc_web,fr,bias2,0.016973428428173065,1,12800
posthoc_web,fr,var,0.0036365974228829145,1,12800
posthoc_web,fz,mspe,0.07795459032058716,1,12800
posthoc_web,fz,bias2,0.07795459032058716,1,12800
posthoc_web,fz,var,0.0,1,12800
refit,y,mspe,0.23285050690174103,1.5,12800
refit,y,bias2,0.2326602041721344,1.5,12800
refit,y,var,0.0001903129304992035,1.5,12800
refit,fx,mspe,0.004657272715121508,1.5,12800
refit,fx,bias2,0.0010001097107306123,1.5,12800
refit,fx,var,0.0036571628879755735,1.5,12800
refit,fr,mspe,0.028174160048365593,1.5,12800
refit,fr,bias2,0.02451699785888195,1.5,12800
refit,fr,var,0.0036571628879755735,1.5,12800
refit,fz,mspe,0.0016735125100240111,1.5,12800
refit,fz,bias2,0.000261202483670786,1.5,12800
refit,fz,var,0.0014123100554570556,1.5,12800
refit_orth,y,mspe,0.23285003006458282,1.5,12800
refit_orth,y,bias2,0.23266009986400604,1.5,12800
refit_orth,y,var,0.00018995095160789788,1.5,12800
refit_orth,fx,mspe,0.022970661520957947,1.5,12800
refit_orth,fx,bias2,0.020164594054222107,1.5,12800
refit_orth,fx,var,0.0028060665354132652,1.5,12800
refit_orth,fr,mspe,0.00359830679371953,1.5,12800
refit_orth,fr,bias2,0.0007922404329292476,1.5,12800
refit_orth,fr,var,0.0028060665354132652,1.5,12800
refit_orth,fz,mspe,0.019350653514266014,1.5,12800
refit_orth,fz,bias2,0.018894916400313377,1.5,12800
