model,effect,metric,value,n,p
refit,fr,bias2,0.02816174179315567,1600,1
refit,fr,var,0.005483346059918404,1600,1
refit,fz,mspe,0.002643459476530552,1600,1
refit,fz,bias2,0.0003831266367342323,1600,1
refit,fz,var,0.002260332927107811,1600,1
refit_orth,y,mspe,1.0131211280822754,1600,1
refit_orth,y,bias2,1.00682532787323,1600,1
refit_orth,y,var,0.0062957569025456905,1600,1
refit_orth,fx,mspe,0.026556335389614105,1600,1
refit_orth,fx,bias2,0.022158220410346985,1600,1
refit_orth,fx,var,0.0043981135822832584,1600,1
refit_orth,fr,mspe,0.006401386111974716,1600,1
refit_orth,fr,bias2,0.0020032734610140324,1600,1
refit_orth,fr,var,0.0043981135822832584,1600,1
refit_orth,fz,mspe,0.02218881994485855,1600,1
refit_orth,fz,bias2,0.02090306207537651,1600,1
refit_orth,fz,var,0.0012857600813731551,1600,1
refit,y,mspe,1.0195121765136719,1600,16
refit,y,bias2,0.9921470880508423,1600,16
refit,y,var,0.027365179732441902,1600,16
refit,fx,mspe,0.017166629433631897,1600,16
refit,fx,bias2,0.008334837853908539,1600,16
refit,fx,var,0.008831791579723358,1600,16
refit,fr,mspe,0.03663986548781395,1600,16
refit,fr,bias2,0.027808072045445442,1600,16
refit,fr,var,0.008831791579723358,1600,16
refit,fz,mspe,0.024975920096039772,1600,16
refit,fz,bias2,0.002139466116204858,1600,16
refit,fz,var,0.022836456075310707,1600,16
refit_orth,y,mspe,1.0195127725601196,1600,16
refit_orth,y,bias2,0.9921478033065796,1600,16
refit_orth,y,var,0.027364950627088547,1600,16
refit_orth,fx,mspe,0.03500259295105934,1600,16
refit_orth,fx,bias2,0.02774013578891754,1600,16
refit_orth,fx,var,0.007262456230819225,1600,16
refit_orth,fr,mspe,0.013836460188031197,1600,16
refit_orth,fr,bias2,0.006574003491550684,1600,16
refit_orth,fr,var,0.007262456230819225,1600,16
refit_orth,fz,mspe,0.042284782975912094,1600,16
refit_orth,fz,bias2,0.020445039495825768,1600,16
refit_orth,fz,var,0.021839745342731476,1600,16
refit,y,mspe,0.9677021503448486,1600,2
refit,y,bias2,0.9600726366043091,1600,2
refit,y,var,0.007629511412233114,1600,2
refit,fx,mspe,0.009862336330115795,1600,2
refit,fx,bias2,0.003527918132022023,1600,2
refit,fx,var,0.006334417499601841,1600,2
refit,fr,mspe,0.03722614794969559,1600,2
refit,fr,bias2,0.03089173138141632,1600,2
refit,fr,var,0.006334417499601841,1600,2
refit,fz,mspe,0.0042733075097203255,1600,2
refit,fz,bias2,0.000585962668992579,1600,2
refit,fz,var,0.0036873447243124247,1600,2
refit_orth,y,mspe,0.9677017331123352,1600,2
refit_orth,y,bias2,0.9600675106048584,1600,2
refit_orth,y,var,0.007634137291461229,1600,2
refit_orth,fx,mspe,0.02862035669386387,1600,2
refit_orth,fx,bias2,0.023985274136066437,1600,2
refit_orth,fx,var,0.00463508116081357,1600,2
refit_orth,fr,mspe,0.0076880441047251225,1600,2
refit_orth,fr,bias2,0.0030529629439115524,1600,2
refit_orth,fr,var,0.00463508116081357,1600,2
refit_orth,fz,mspe,0.023454811424016953,1600,2
refit_orth,fz,bias2,0.02095722407102585,1600,2
refit_orth,fz,var,0.002497586887329817,1600,2
refit,y,mspe,1.08096444606781,1600,4
refit,y,bias2,1.070231318473816,1600,4
refit,y,var,0.010733148083090782,1600,4
refit,fx,mspe,0.011508851312100887,1600,4
refit,fx,bias2,0.004948108922690153,1600,4
refit,fx,var,0.006560742389410734,1600,4
refit,fr,mspe,0.033408261835575104,1600,4
refit,fr,bias2,0.026847518980503082,1600,4
refit,fr,var,0.006560742389410734,1600,4
refit,fz,mspe,0.008067384362220764,1600,4
refit,fz,bias2,0.0004898274783045053,1600,4
refit,fz,var,0.007577556185424328,1600,4
refit_orth,y,mspe,1.0809545516967773,1600,4
refit_orth,y,bias2,1.0702286958694458,1600,4
refit_orth,y,var,0.010725801810622215,1600,4
refit_orth,fx,mspe,0.030558133497834206,1600,4
refit_orth,fx,bias2,0.025320664048194885,1600,4
refit_orth,fx,var,0.00523747131228447,1600,4
refit_orth,fr,mspe,0.009959914721548557,1600,4
refit_orth,fr,bias2,0.0047224429436028,1600,4
refit_orth,fr,var,0.00523747131228447,1600,4
refit_orth,fz,mspe,0.026633262634277344,1600,4
refit_orth,fz,bias2,0.020654113963246346,1600,4
