model,effect,metric,value,a,n
refit,fz,mspe,0.005923448596149683,0.2,12800
refit,fz,bias2,0.0021358018275350332,0.2,12800
refit,fz,var,0.0037876470014452934,0.2,12800
refit_orth,y,mspe,1.0101463794708252,0.2,12800
refit_orth,y,bias2,1.0055161714553833,0.2,12800
refit_orth,y,var,0.004630192648619413,0.2,12800
refit_orth,fx,mspe,0.020396240055561066,0.2,12800
refit_orth,fx,bias2,0.01783519983291626,0.2,12800
refit_orth,fx,var,0.002561040921136737,0.2,12800
refit_orth,fr,mspe,0.0034737479873001575,0.2,12800
refit_orth,fr,bias2,0.0009127070661634207,0.2,12800
refit_orth,fr,var,0.002561040921136737,0.2,12800
refit_orth,fz,mspe,0.02384784072637558,0.2,12800
refit_orth,fz,bias2,0.013590899296104908,0.2,12800
refit_orth,fz,var,0.010256941430270672,0.2,12800
base,y,mspe,1.052075982093811,0.2,12800
base,y,bias2,1.050003170967102,0.2,12800
base,y,var,0.002072870032861829,0.2,12800
base,fx,mspe,0.048287283629179,0.2,12800
base,fx,bias2,0.04680609703063965,0.2,12800
base,fx,var,0.0014811888104304671,0.2,12800
base,fr,mspe,0.11638209968805313,0.2,12800
base,fr,bias2,0.11490092426538467,0.2,12800
base,fr,var,0.0014811888104304671,0.2,12800
base,fz,mspe,0.07795459032058716,0.2,12800
base,fz,bias2,0.07795459032058716,0.2,12800
base,fz,var,0.0,0.2,12800
posthoc_web,y,mspe,1.2285481691360474,0.2,12800
posthoc_web,y,bias2,1.220768690109253,0.2,12800
posthoc_web,y,var,0.007779489737004042,0.2,12800
posthoc_web,fx,mspe,0.040112320333719254,0.2,12800
posthoc_web,fx,bias2,0.03290066123008728,0.2,12800
posthoc_web,fx,var,0.007211655378341675,0.2,12800
posthoc_web,fr,mspe,0.024005435407161713,0.2,12800
posthoc_web,fr,bias2,0.016793780028820038,0.2,12800
posthoc_web,fr,var,0.007211655378341675,0.2,12800
posthoc_web,fz,mspe,0.07795459032058716,0.2,12800
posthoc_web,fz,bias2,0.07795459032058716,0.2,12800
posthoc_web,fz,var,0.0,0.2,12800
refit,y,mspe,1.0191959142684937,0.3,12800
refit,y,bias2,1.0118417739868164,0.3,12800
refit,y,var,0.007353982888162136,0.3,12800
refit,fx,mspe,0.007782468572258949,0.3,12800
refit,fx,bias2,0.006700504571199417,0.3,12800
refit,fx,var,0.0010819643503054976,0.3,12800
refit,fr,mspe,0.0453462116420269,0.3,12800
refit,fr,bias2,0.04426424205303192,0.3,12800
refit,fr,var,0.0010819643503054976,0.3,12800
refit,fz,mspe,0.016352592036128044,0.3,12800
refit,fz,bias2,0.00991202611476183,0.3,12800
refit,fz,var,0.006440566387027502,0.3,12800
refit_orth,y,mspe,1.019189476966858,0.3,12800
refit_orth,y,bias2,1.0118354558944702,0.3,12800
refit_orth,y,var,0.007353952620178461,0.3,12800
refit_orth,fx,mspe,0.02141932211816311,0.3,12800
refit_orth,fx,bias2,0.014685910195112228,0.3,12800
refit_orth,fx,var,0.006733411457389593,0.3,12800
refit_orth,fr,mspe,0.010274713858962059,0.3,12800
refit_orth,fr,bias2,0.0035413026344031096,0.3,12800
refit_orth,fr,var,0.006733411457389593,0.3,12800
refit_orth,fz,mspe,0.030321944504976273,0.3,12800
refit_orth,fz,bias2,0.006165009923279285,0.3,12800
refit_orth,fz,var,0.024156933650374413,0.3,12800
base,y,mspe,1.052075982093811,0.3,12800
base,y,bias2,1.050003170967102,0.3,12800
base,y,var,0.002072870032861829,0.3,12800
base,fx,mspe,0.048287283629179,0.3,12800
base,fx,bias2,0.04680609703063965,0.3,12800
base,fx,var,0.0014811888104304671,0.3,12800
base,fr,mspe,0.11638209968805313,0.3,12800
base,fr,bias2,0.11490092426538467,0.3,12800
base,fr,var,0.0014811888104304671,0.3,12800
base,fz,mspe,0.07795459032058716,0.3,12800
base,fz,bias2,0.07795459032058716,0.3,12800
base,fz,var,0.0,0.3,12800
posthoc_web,y,mspe,1.21165132522583,0.3,12800
posthoc_web,y,bias2,1.1958036422729492,0.3,12800
posthoc_web,y,var,0.01584768481552601,0.3,12800
posthoc_web,fx,mspe,0.041439928114414215,0.3,12800
posthoc_web,fx,bias2,0.02614491991698742,0.3,12800
posthoc_web,fx,var,0.015295011922717094,0.3,12800
posthoc_web,fr,mspe,0.03397480398416519,0.3,12800
posthoc_web,fr,bias2,0.018679795786738396,0.3,12800
posthoc_web,fr,var,0.015295011922717094,0.3,12800
posthoc_web,fz,mspe,0.07795459032058716,0.3,12800
posthoc_web,fz,bias2,0.07795459032058716,0.3,12800
posthoc_web,fz,var,0.0,0.3,12800
refit,y,mspe,1.0293174982070923,0.4,12800
refit,y,bias2,1.0213656425476074,0.4,12800
refit,y,var,0.007951893843710423,0.4,12800
refit,fx,mspe,0.017304932698607445,0.4,12800
refit,fx,bias2,0.016233952715992928,0.4,12800
refit,fx,var,0.0010709812631830573,0.4,12800
refit,fr,mspe,0.06527118384838104,0.4,12800
refit,fr,bias2,0.06420020759105682,0.4,12800
refit,fr,var,0.0010709812631830573,0.4,12800
refit,fz,mspe,0.032125070691108704,0.4,12800
refit,fz,bias2,0.02512175962328911,0.4,12800
refit,fz,var,0.007003315724432468,0.4,12800
refit_orth,y,mspe,1.0293257236480713,0.4,12800
refit_orth,y,bias2,1.0213737487792969,0.4,12800
refit_orth,y,var,0.007951879873871803,0.4,12800
refit_orth,fx,mspe,0.024981198832392693,0.4,12800
refit_orth,fx,bias2,0.010733022354543209,0.4,12800
refit_orth,fx,var,0.014248176477849483,0.4,12800
refit_orth,fr,mspe,0.025549784302711487,0.4,12800
