,confounding,q,Run,Model,Metric,MSE,Bias,Var
76,False,16,12,Covar NN,fxhat,0.0011152196,0.0045393803,0.001094723
77,False,16,12,Covar NN,fzhat,0.0006929906,-0.0003658411,0.000692926
78,False,16,13,NN,yhat,2.0180485,0.010866885,2.0181322
79,False,16,13,NN,fxhat,0.0019433638,0.008930819,0.0018637904
80,False,16,13,NN,fzhat,0.99750334,-0.011641518,0.9974675
81,False,16,13,Covar NN,yhat,0.9946205,0.0073234453,0.9946664
82,False,16,13,Covar NN,fxhat,0.002772072,0.029077196,0.0019267813
83,False,16,13,Covar NN,fzhat,0.001779052,-0.03533134,0.0005308013
84,False,16,14,NN,yhat,1.9772135,0.00769159,1.977352
85,False,16,14,NN,fxhat,0.0013205612,0.021898374,0.0008411067
86,False,16,14,NN,fzhat,0.98249036,-0.0017274218,0.98258555
87,False,16,14,Covar NN,yhat,0.99935323,-0.036054045,0.99815303
88,False,16,14,Covar NN,fxhat,0.0017532783,-0.031169051,0.0007818468
89,False,16,14,Covar NN,fzhat,0.0008151891,0.0075943694,0.00075759034
90,False,16,15,NN,yhat,2.0178108,-0.04325426,2.0161414
91,False,16,15,NN,fxhat,0.007818348,-0.043904625,0.0058913208
92,False,16,15,NN,fzhat,1.0184172,0.01724085,1.0182217
93,False,16,15,Covar NN,yhat,1.0101999,-0.030032111,1.0093988
94,False,16,15,Covar NN,fxhat,0.0011216792,-0.0118212085,0.0009820365
95,False,16,15,Covar NN,fzhat,0.001245559,-0.0016204092,0.0012430574
96,False,16,16,NN,yhat,2.0163476,0.019709988,2.016161
97,False,16,16,NN,fxhat,0.003852044,-0.00053614995,0.0038521416
98,False,16,16,NN,fzhat,0.9781373,0.015492049,0.97799516
99,False,16,16,Covar NN,yhat,0.99533975,0.011305285,0.99531144
100,False,16,16,Covar NN,fxhat,0.0027518922,0.025614811,0.0020959831
101,False,16,16,Covar NN,fzhat,0.0016217188,-0.019063607,0.0012584236
102,False,16,17,NN,yhat,2.0006351,0.012448065,2.0006804
103,False,16,17,NN,fxhat,0.003935281,-0.021055978,0.0034922764
104,False,16,17,NN,fzhat,1.0148983,0.026645029,1.0142899
105,False,16,17,Covar NN,yhat,1.0054703,-0.010984778,1.0054501
106,False,16,17,Covar NN,fxhat,0.0013603921,0.0078228135,0.0012993256
107,False,16,17,Covar NN,fzhat,0.0014402688,-0.025666604,0.0007815725
108,False,16,18,NN,yhat,2.0266442,0.02099176,2.0264063
109,False,16,18,NN,fxhat,0.0029557587,0.02353304,0.0024021948
110,False,16,18,NN,fzhat,1.024244,-9.966907e-05,1.0243464
111,False,16,18,Covar NN,yhat,1.0102445,-0.02583138,1.0096782
112,False,16,18,Covar NN,fxhat,0.0014341149,0.0058142613,0.0014004493
113,False,16,18,Covar NN,fzhat,0.0016258098,-0.029204028,0.0007730121
114,False,16,19,NN,yhat,2.0181758,-0.0046941615,2.0183558
115,False,16,19,NN,fxhat,0.0025845591,-0.0275888,0.0018235999
116,False,16,19,NN,fzhat,1.0155655,0.033930864,1.0145156
117,False,16,19,Covar NN,yhat,1.0093505,-0.031159332,1.0084804
118,False,16,19,Covar NN,fxhat,0.0052203275,-0.060075775,0.0016113892
119,False,16,19,Covar NN,fzhat,0.0020307982,0.03995267,0.0004346258
120,False,16,20,NN,yhat,1.9835719,0.03365205,1.9826379
121,False,16,20,NN,fxhat,0.001929175,0.010232219,0.0018246592
122,False,16,20,NN,fzhat,1.0072707,0.001497462,1.0073692
123,False,16,20,Covar NN,yhat,1.0174406,0.0046258783,1.0175209
124,False,16,20,Covar NN,fxhat,0.0022390871,-0.024854504,0.0016215028
125,False,16,20,Covar NN,fzhat,0.0008827687,0.007558016,0.0008257277
126,False,16,21,NN,yhat,1.9945918,-0.026738599,1.9940763
127,False,16,21,NN,fxhat,0.002960474,0.028372144,0.0021557112
128,False,16,21,NN,fzhat,1.0056139,-0.06047754,1.0020567
129,False,16,21,Covar NN,yhat,1.0002595,-0.011088099,1.0002367
130,False,16,21,Covar NN,fxhat,0.0017480546,0.025405148,0.0011027434
131,False,16,21,Covar NN,fzhat,0.0022118487,-0.041860048,0.00045963103
132,False,16,22,NN,yhat,1.9784985,0.03719797,1.9773124
133,False,16,22,NN,fxhat,0.0028343387,-0.018482404,0.0024929887
134,False,16,22,NN,fzhat,0.9949248,0.03284931,0.99394506
135,False,16,22,Covar NN,yhat,0.98685545,0.02410033,0.9863732
136,False,16,22,Covar NN,fxhat,0.0016449726,-0.011223964,0.0015191472
137,False,16,22,Covar NN,fzhat,0.0017376301,0.012493235,0.0015817073
138,False,16,23,NN,yhat,1.9995568,-0.002364997,1.9997512
139,False,16,23,NN,fxhat,0.003178159,-0.0106331,0.0030654029
140,False,16,23,NN,fzhat,0.98943996,0.004708021,0.98951674
141,False,16,23,Covar NN,yhat,0.99971443,-0.006590621,0.99977094
142,False,16,23,Covar NN,fxhat,0.0020523258,-0.01176542,0.0019140921
143,False,16,23,Covar NN,fzhat,0.0006504488,0.0016147175,0.00064790633
144,False,16,24,NN,yhat,1.9938705,-0.002380628,1.9940642
145,False,16,24,NN,fxhat,0.0030963565,-0.028575117,0.0022800474
146,False,16,24,NN,fzhat,1.0073551,0.023776365,1.0068904
147,False,16,24,Covar NN,yhat,0.9980805,0.017991936,0.99785656
148,False,16,24,Covar NN,fxhat,0.0049671275,-0.0578791,0.0016172987
149,False,16,24,Covar NN,fzhat,0.0057877456,0.07345291,0.00039245447
150,False,32,0,NN,yhat,2.0101926,0.020529566,2.0099723
151,False,32,0,NN,fxhat,0.03201217,-0.1526548,0.008709555
152,False,32,0,NN,fzhat,1.0196818,0.1679579,0.9915712
153,False,32,0,Covar NN,yhat,1.0080125,0.010276213,1.0080076
154,False,32,0,Covar NN,fxhat,0.011802881,-0.0936196,0.0030385558
155,False,32,0,Covar NN,fzhat,0.010584529,0.09866935,0.00084897137
156,False,32,1,NN,yhat,1.991508,-0.008152693,1.9916407
157,False,32,1,NN,fxhat,0.009553666,-0.06130407,0.0057960586
158,False,32,1,NN,fzhat,1.0008267,0.06106837,0.9971972
159,False,32,1,Covar NN,yhat,0.98777336,-0.016980542,0.98758376
160,False,32,1,Covar NN,fxhat,0.006040336,-0.05471514,0.0030468944
161,False,32,1,Covar NN,fzhat,0.0022557967,0.045651592,0.00017174579
162,False,32,2,NN,yhat,2.0386689,0.019557511,2.0384903
163,False,32,2,NN,fxhat,0.00753144,-0.04433707,0.0055662207
164,False,32,2,NN,fzhat,0.98947,0.054751966,0.9865709
165,False,32,2,Covar NN,yhat,1.038083,0.011581023,1.0380527
166,False,32,2,Covar NN,fxhat,0.0025262972,-0.014926048,0.002303741
167,False,32,2,Covar NN,fzhat,0.0011687439,0.01736446,0.0008673062
168,False,32,3,NN,yhat,1.9781108,0.0011165119,1.9783074
169,False,32,3,NN,fxhat,0.005186389,0.0077743316,0.005126461
170,False,32,3,NN,fzhat,0.98157823,-0.016423928,0.98140657
171,False,32,3,Covar NN,yhat,0.9917904,0.045534756,0.98981607
172,False,32,3,Covar NN,fxhat,0.004320729,0.046252064,0.002181694
173,False,32,3,Covar NN,fzhat,0.0012138493,-0.010483431,0.0011040573
174,False,32,4,NN,yhat,2.0527122,-0.023054156,2.052386
175,False,32,4,NN,fxhat,0.006762662,0.033035487,0.0056718853
176,False,32,4,NN,fzhat,1.0252105,-0.06077048,1.0216196
177,False,32,4,Covar NN,yhat,1.0122702,-0.02106889,1.0119276
178,False,32,4,Covar NN,fxhat,0.0039770287,0.0016579559,0.003974677
179,False,32,4,Covar NN,fzhat,0.0010158815,-0.027407678,0.00026472704
180,False,32,5,NN,yhat,1.9996822,-0.0063149063,1.9998426
181,False,32,5,NN,fxhat,0.0147167705,0.082789004,0.007863538
182,False,32,5,NN,fzhat,0.99513465,-0.09894397,0.98544335
183,False,32,5,Covar NN,yhat,1.0156784,0.007086432,1.0157298
184,False,32,5,Covar NN,fxhat,0.009091118,0.07956623,0.0027606084
185,False,32,5,Covar NN,fzhat,0.007826436,-0.08231987,0.001049979
186,False,32,6,NN,yhat,1.9823589,0.0039205286,1.9825419
187,False,32,6,NN,fxhat,0.0047963313,-0.024782531,0.0041825757
188,False,32,6,NN,fzhat,0.9905828,0.040823072,0.9890151
189,False,32,6,Covar NN,yhat,0.9903531,-0.007100261,0.99040186
190,False,32,6,Covar NN,fxhat,0.002830421,0.024758894,0.00221764
191,False,32,6,Covar NN,fzhat,0.0020630176,-0.01973915,0.001673551
192,False,32,7,NN,yhat,2.0010808,0.002647689,2.001274
193,False,32,7,NN,fxhat,0.009240716,-0.03080752,0.008292442
194,False,32,7,NN,fzhat,0.998418,0.04186965,0.9967645
195,False,32,7,Covar NN,yhat,1.0150948,-0.00052299927,1.015196
196,False,32,7,Covar NN,fxhat,0.010057147,-0.07214442,0.0048528155
197,False,32,7,Covar NN,fzhat,0.0073676743,0.08003585,0.0009620331
198,False,32,8,NN,yhat,2.0252247,0.0008861938,2.0254266
199,False,32,8,NN,fxhat,0.013300033,0.09162779,0.0049048723
200,False,32,8,NN,fzhat,0.99652463,-0.07433241,0.9910984
201,False,32,8,Covar NN,yhat,1.0371356,-0.008407574,1.0371684
202,False,32,8,Covar NN,fxhat,0.006392834,0.059302624,0.0028763202
203,False,32,8,Covar NN,fzhat,0.0029975101,-0.051301006,0.0003657537
204,False,32,9,NN,yhat,2.0074494,0.01961733,2.0072653
205,False,32,9,NN,fxhat,0.007984764,0.042215914,0.0062032016
206,False,32,9,NN,fzhat,0.9860919,-0.022028973,0.9857052
207,False,32,9,Covar NN,yhat,1.0155659,0.023599554,1.0151105
208,False,32,9,Covar NN,fxhat,0.005827548,0.03666956,0.00448334
209,False,32,9,Covar NN,fzhat,0.0009356451,-0.012500388,0.0007794634
210,False,32,10,NN,yhat,2.0446541,0.00419348,2.044841
211,False,32,10,NN,fxhat,0.0064238305,-0.004966916,0.0063997996
212,False,32,10,NN,fzhat,1.0071671,-0.0046876585,1.0072459
213,False,32,10,Covar NN,yhat,1.0253712,0.018484483,1.0251321
214,False,32,10,Covar NN,fxhat,0.0030249285,0.014643115,0.0028107886
215,False,32,10,Covar NN,fzhat,0.00037596028,-0.010006686,0.0002758541
216,False,32,11,NN,yhat,1.988334,0.013870495,1.9883404
217,False,32,11,NN,fxhat,0.009785266,0.074999735,0.0041607227
218,False,32,11,NN,fzhat,1.0035064,-0.05675476,1.0003855
219,False,32,11,Covar NN,yhat,0.9983833,0.005081413,0.9984574
220,False,32,11,Covar NN,fxhat,0.0030775573,0.013526852,0.0028948712
221,False,32,11,Covar NN,fzhat,0.0011906826,-0.0040709674,0.0011742275
222,False,32,12,NN,yhat,1.9926996,-0.002181868,1.9928939
223,False,32,12,NN,fxhat,0.0090962555,0.050924227,0.006503629
224,False,32,12,NN,fzhat,0.98378885,-0.046900176,0.9816875
225,False,32,12,Covar NN,yhat,1.0084604,-0.005279841,1.0085332
226,False,32,12,Covar NN,fxhat,0.0025829573,-0.005101457,0.0025571883
227,False,32,12,Covar NN,fzhat,0.00076941727,0.006027541,0.0007331593
