early_pat,epochs_base_half,error,lr,mspe_fx,q,sched_pat,status,t_base_half_s,t_posthoc_s,t_total_s,traceback,wd
6,5,,0.003,0.014229906722903252,2,5,ok,3.0798001289367676,1.1104481220245361,4.190248250961304,,1e-05
6,14,,0.001,0.014383361674845219,4,5,ok,3.61641001701355,0.970041036605835,4.586451053619385,,1e-05
6,7,,0.01,0.02517816610634327,2,5,ok,3.2407612800598145,1.8133604526519775,5.054121732711792,,1e-05
6,12,,0.001,0.012725799344480038,2,5,ok,3.6530303955078125,2.090503454208374,5.7435338497161865,,1e-05
6,16,,0.003,0.014439206570386887,4,5,ok,1.5255539417266846,1.1871230602264404,2.712677001953125,,1e-05
6,9,,0.01,0.01568385399878025,4,5,ok,1.0568280220031738,1.1890201568603516,2.2458481788635254,,1e-05
6,9,,0.001,0.015635643154382706,8,5,ok,1.1063282489776611,0.8529953956604004,1.9593236446380615,,1e-05
6,10,,0.003,0.01700722612440586,8,5,ok,1.0894973278045654,0.7603633403778076,1.849860668182373,,1e-05
6,5,,0.001,0.013835796155035496,16,5,ok,0.8426127433776855,1.1394152641296387,1.9820280075073242,,1e-05
6,4,,0.003,0.015467201359570026,16,5,ok,0.8746578693389893,0.9955618381500244,1.8702197074890137,,1e-05
6,13,,0.01,0.017241157591342926,8,5,ok,1.2834935188293457,0.846229076385498,2.1297225952148438,,1e-05
6,5,,0.01,0.0148717500269413,16,5,ok,0.8520090579986572,0.6416075229644775,1.4936165809631348,,1e-05
6,8,,0.003,0.01598079688847065,32,5,ok,1.219097375869751,0.982778787612915,2.201876163482666,,1e-05
6,7,,0.01,0.014081640169024467,32,5,ok,1.197258710861206,0.9427199363708496,2.1399786472320557,,1e-05
6,12,,0.001,0.015624104999005795,32,5,ok,1.4831907749176025,0.8523719310760498,2.3355627059936523,,1e-05
6,10,,0.001,0.015511877834796906,64,5,ok,1.365013599395752,0.8032975196838379,2.16831111907959,,1e-05
6,5,,0.003,0.014676225371658802,64,5,ok,1.0627377033233643,0.9991416931152344,2.0618793964385986,,1e-05
6,5,,0.01,0.014793401584029198,64,5,ok,1.0633976459503174,1.0052094459533691,2.0686070919036865,,1e-05
6,10,,0.001,0.015882791951298714,128,5,ok,1.3242199420928955,2.0041377544403076,3.328357696533203,,1e-05
6,4,,0.003,0.014633672311902046,128,5,ok,0.9856488704681396,3.185460329055786,4.171109199523926,,1e-05
6,20,,0.01,0.015355224721133709,128,5,ok,1.8626484870910645,0.8633618354797363,2.726010322570801,,1e-05
6,10,,0.001,0.015629710629582405,256,5,ok,1.3303437232971191,2.4364688396453857,3.766812562942505,,1e-05
6,5,,0.003,0.015648413449525833,256,5,ok,0.7612934112548828,2.740544557571411,3.501837968826294,,1e-05
6,7,,0.01,0.015249257907271385,256,5,ok,1.012237310409546,2.685744047164917,3.697981357574463,,1e-05
6,9,,0.001,0.015300302766263485,512,5,ok,1.2562229633331299,3.4088730812072754,4.665096044540405,,1e-05
6,13,,0.01,0.016980772837996483,512,5,ok,1.472996711730957,1.9027130603790283,3.3757097721099854,,1e-05
6,7,,0.003,0.013501089066267014,512,5,ok,1.0871787071228027,3.4812991619110107,4.5684778690338135,,1e-05
6,,torch.linalg.solve: The solver failed because the input matrix is singular.,0.01,,1024,5,error,,,,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/RDC/pfeuffma/.conda/envs/dl-mri/lib/python3.13/site-packages/torch/utils/_contextlib.py"", line 120, in decorate_context
    return func(*args, **kwargs)
  File ""/home/RDC/pfeuffma/Research/cocodeel/cocodeel/posthoc_model.py"", line 169, in _fit_effects
    diag = self._solve_fixed_lambda(
        X_train,
    ...<5 lines>...
        penalty_z=penalty_z,
    )
  File ""/home/RDC/pfeuffma/.conda/envs/dl-mri/lib/python3.13/site-packages/torch/utils/_contextlib.py"", line 120, in decorate_context
    return func(*args, **kwargs)
  File ""/home/RDC/pfeuffma/Research/cocodeel/cocodeel/posthoc_model.py"", line 330, in _solve_fixed_lambda
    beta_fx = torch.linalg.solve(
        resid_X.T @ resid_X + lam * torch.eye(resid_X.shape[1]).to(resid_X.device),
        resid_X.T @ resid_y
    )
torch._C._LinAlgError: torch.linalg.solve: The solver failed because the input matrix is singular.
",1e-05
6,4,,0.001,0.014462953433394432,1024,5,ok,0.8753798007965088,3.205497980117798,4.080877780914307,,1e-05
6,9,,0.003,0.015058173798024654,1024,5,ok,1.2333612442016602,1.8742625713348389,3.107623815536499,,1e-05
