model,effect,metric,value,bz,n
posthoc_orth,y,var,0.00041540912934578955,1,12800
posthoc_orth,fx,mspe,0.025679897516965866,1,12800
posthoc_orth,fx,bias2,0.020470688119530678,1,12800
posthoc_orth,fx,var,0.005209211725741625,1,12800
posthoc_orth,fr,mspe,0.006388646550476551,1,12800
posthoc_orth,fr,bias2,0.0011794348247349262,1,12800
posthoc_orth,fr,var,0.005209211725741625,1,12800
posthoc_orth,fz,mspe,0.021885622292757034,1,12800
posthoc_orth,fz,bias2,0.020585648715496063,1,12800
posthoc_orth,fz,var,0.0012999741593375802,1,12800
posthoc_web,y,mspe,0.27256473898887634,1,12800
posthoc_web,y,bias2,0.2720116674900055,1,12800
posthoc_web,y,var,0.0005530552589334548,1,12800
posthoc_web,fx,mspe,0.04011283069849014,1,12800
posthoc_web,fx,bias2,0.03667297214269638,1,12800
posthoc_web,fx,var,0.0034398578573018312,1,12800
posthoc_web,fr,mspe,0.019290631636977196,1,12800
posthoc_web,fr,bias2,0.015850773081183434,1,12800
posthoc_web,fr,var,0.0034398578573018312,1,12800
posthoc_web,fz,mspe,0.07795459032058716,1,12800
posthoc_web,fz,bias2,0.07795459032058716,1,12800
posthoc_web,fz,var,0.0,1,12800
base,y,mspe,0.23786652088165283,1.5,12800
base,y,bias2,0.23757663369178772,1.5,12800
base,y,var,0.00028987129917368293,1.5,12800
base,fx,mspe,0.10655509680509567,1.5,12800
base,fx,bias2,0.10202669352293015,1.5,12800
base,fx,var,0.00452840281650424,1.5,12800
base,fr,mspe,0.19772976636886597,1.5,12800
base,fr,bias2,0.19320136308670044,1.5,12800
base,fr,var,0.00452840281650424,1.5,12800
base,fz,mspe,0.1753978282213211,1.5,12800
base,fz,bias2,0.1753978282213211,1.5,12800
base,fz,var,0.0,1.5,12800
posthoc,y,mspe,0.23291164636611938,1.5,12800
posthoc,y,bias2,0.2325616031885147,1.5,12800
posthoc,y,var,0.0003500535967759788,1.5,12800
posthoc,fx,mspe,0.007664606440812349,1.5,12800
posthoc,fx,bias2,0.0014570873463526368,1.5,12800
posthoc,fx,var,0.006207518745213747,1.5,12800
posthoc,fr,mspe,0.031467847526073456,1.5,12800
posthoc,fr,bias2,0.025260329246520996,1.5,12800
posthoc,fr,var,0.006207518745213747,1.5,12800
posthoc,fz,mspe,0.0027897616382688284,1.5,12800
posthoc,fz,bias2,0.00012900689034722745,1.5,12800
posthoc,fz,var,0.0026607548352330923,1.5,12800
posthoc_orth,y,mspe,0.23291152715682983,1.5,12800
posthoc_orth,y,bias2,0.23256084322929382,1.5,12800
posthoc_orth,y,var,0.0003506836947053671,1.5,12800
posthoc_orth,fx,mspe,0.025148672983050346,1.5,12800
posthoc_orth,fx,bias2,0.020541483536362648,1.5,12800
posthoc_orth,fx,var,0.004607191309332848,1.5,12800
posthoc_orth,fr,mspe,0.005826364737004042,1.5,12800
posthoc_orth,fr,bias2,0.0012191737769171596,1.5,12800
posthoc_orth,fr,var,0.004607191309332848,1.5,12800
posthoc_orth,fz,mspe,0.0216273944824934,1.5,12800
posthoc_orth,fz,bias2,0.020476587116718292,1.5,12800
posthoc_orth,fz,var,0.0011508086463436484,1.5,12800
posthoc_web,y,mspe,0.2839239835739136,1.5,12800
posthoc_web,y,bias2,0.2833961546421051,1.5,12800
posthoc_web,y,var,0.00052784220315516,1.5,12800
posthoc_web,fx,mspe,0.06173072010278702,1.5,12800
posthoc_web,fx,bias2,0.057918988168239594,1.5,12800
posthoc_web,fx,var,0.0038117384538054466,1.5,12800
posthoc_web,fr,mspe,0.039971329271793365,1.5,12800
posthoc_web,fr,bias2,0.036159589886665344,1.5,12800
posthoc_web,fr,var,0.0038117384538054466,1.5,12800
posthoc_web,fz,mspe,0.1753978282213211,1.5,12800
posthoc_web,fz,bias2,0.1753978282213211,1.5,12800
posthoc_web,fz,var,0.0,1.5,12800
base,y,mspe,0.23322820663452148,2,12800
base,y,bias2,0.2329355627298355,2,12800
