model,effect,metric,value,n,q
posthoc,fr,bias2,0.09947830438613892,12800,2
posthoc,fr,var,0.00789108220487833,12800,2
posthoc,fz,mspe,0.03557052090764046,12800,2
posthoc,fz,bias2,0.028596526011824608,12800,2
posthoc,fz,var,0.006973996292799711,12800,2
posthoc_orth,y,mspe,1.0129351615905762,12800,2
posthoc_orth,y,bias2,1.0110366344451904,12800,2
posthoc_orth,y,var,0.0018984538037329912,12800,2
posthoc_orth,fx,mspe,0.023941583931446075,12800,2
posthoc_orth,fx,bias2,0.022412573918700218,12800,2
posthoc_orth,fx,var,0.0015290109440684319,12800,2
posthoc_orth,fr,mspe,0.43013763427734375,12800,2
posthoc_orth,fr,bias2,0.40122750401496887,12800,2
posthoc_orth,fr,var,0.02891012653708458,12800,2
posthoc_orth,fz,mspe,0.01987561210989952,12800,2
posthoc_orth,fz,bias2,0.01965896598994732,12800,2
posthoc_orth,fz,var,0.00021664638188667595,12800,2
base,y,mspe,1.0171557664871216,12800,256
base,y,bias2,1.0161280632019043,12800,256
base,y,var,0.001027753110975027,12800,256
base,fx,mspe,0.07553011178970337,12800,256
base,fx,bias2,0.07480797916650772,12800,256
base,fx,var,0.0007221329724416137,12800,256
base,fr,mspe,0.1690891832113266,12800,256
base,fr,bias2,0.16836704313755035,12800,256
base,fr,var,0.0007221329724416137,12800,256
base,fz,mspe,0.07795459032058716,12800,256
base,fz,bias2,0.07795459032058716,12800,256
base,fz,var,0.0,12800,256
posthoc,y,mspe,1.0058579444885254,12800,256
posthoc,y,bias2,1.0040149688720703,12800,256
posthoc,y,var,0.0018430623458698392,12800,256
posthoc,fx,mspe,0.007416822481900454,12800,256
posthoc,fx,bias2,0.0014826852129772305,12800,256
posthoc,fx,var,0.005934137850999832,12800,256
posthoc,fr,mspe,0.036466632038354874,12800,256
posthoc,fr,bias2,0.03053249418735504,12800,256
posthoc,fr,var,0.005934137850999832,12800,256
posthoc,fz,mspe,0.006030392833054066,12800,256
posthoc,fz,bias2,0.0011180457659065723,12800,256
posthoc,fz,var,0.004912347067147493,12800,256
posthoc_orth,y,mspe,1.005858063697815,12800,256
posthoc_orth,y,bias2,1.0040149688720703,12800,256
posthoc_orth,y,var,0.001843061181716621,12800,256
posthoc_orth,fx,mspe,0.021204112097620964,12800,256
posthoc_orth,fx,bias2,0.019742049276828766,12800,256
posthoc_orth,fx,var,0.0014620610745623708,12800,256
posthoc_orth,fr,mspe,0.14618252217769623,12800,256
posthoc_orth,fr,bias2,0.12612739205360413,12800,256
posthoc_orth,fr,var,0.020055139437317848,12800,256
posthoc_orth,fz,mspe,0.019875608384609222,12800,256
posthoc_orth,fz,bias2,0.01965896040201187,12800,256
posthoc_orth,fz,var,0.00021664649830199778,12800,256
base,y,mspe,1.0176186561584473,12800,32
base,y,bias2,1.0165690183639526,12800,32
base,y,var,0.0010496063623577356,12800,32
base,fx,mspe,0.07368128001689911,12800,32
base,fx,bias2,0.07287733256816864,12800,32
base,fx,var,0.0008039437816478312,12800,32
base,fr,mspe,0.16621503233909607,12800,32
base,fr,bias2,0.1654110848903656,12800,32
base,fr,var,0.0008039437816478312,12800,32
base,fz,mspe,0.07795459032058716,12800,32
base,fz,bias2,0.07795459032058716,12800,32
base,fz,var,0.0,12800,32
posthoc,y,mspe,1.0056581497192383,12800,32
posthoc,y,bias2,1.0037667751312256,12800,32
posthoc,y,var,0.001891417196020484,12800,32
posthoc,fx,mspe,0.008032334968447685,12800,32
posthoc,fx,bias2,0.0010201344266533852,12800,32
posthoc,fx,var,0.007012201007455587,12800,32
posthoc,fr,mspe,0.03491273894906044,12800,32
posthoc,fr,bias2,0.027900539338588715,12800,32
posthoc,fr,var,0.007012201007455587,12800,32
posthoc,fz,mspe,0.00678874971345067,12800,32
posthoc,fz,bias2,0.0006540588801726699,12800,32
posthoc,fz,var,0.006134690251201391,12800,32
posthoc_orth,y,mspe,1.0056588649749756,12800,32
posthoc_orth,y,bias2,1.00376558303833,12800,32
posthoc_orth,y,var,0.0018933563260361552,12800,32
posthoc_orth,fx,mspe,0.02124454453587532,12800,32
posthoc_orth,fx,bias2,0.019725210964679718,12800,32
posthoc_orth,fx,var,0.001519335201010108,12800,32
posthoc_orth,fr,mspe,0.1387854516506195,12800,32
posthoc_orth,fr,bias2,0.1150013729929924,12800,32
posthoc_orth,fr,var,0.023784078657627106,12800,32
posthoc_orth,fz,mspe,0.019875606521964073,12800,32
posthoc_orth,fz,bias2,0.01965896040201187,12800,32
posthoc_orth,fz,var,0.00021664646919816732,12800,32
base,y,mspe,1.0179688930511475,12800,4
base,y,bias2,1.0170940160751343,12800,4
base,y,var,0.0008749289554543793,12800,4
base,fx,mspe,0.07357831299304962,12800,4
base,fx,bias2,0.07287418842315674,12800,4
base,fx,var,0.0007041235221549869,12800,4
base,fr,mspe,0.16599632799625397,12800,4
base,fr,bias2,0.1652921885251999,12800,4
base,fr,var,0.0007041235221549869,12800,4
base,fz,mspe,0.07795459032058716,12800,4
base,fz,bias2,0.07795459032058716,12800,4
base,fz,var,0.0,12800,4
posthoc,y,mspe,1.0082916021347046,12800,4
posthoc,y,bias2,1.0063023567199707,12800,4
posthoc,y,var,0.0019891709089279175,12800,4
posthoc,fx,mspe,0.014739137142896652,12800,4
posthoc,fx,bias2,0.0058452594093978405,12800,4
posthoc,fx,var,0.00889387633651495,12800,4
posthoc,fr,mspe,0.05333764851093292,12800,4
posthoc,fr,bias2,0.044443778693675995,12800,4
posthoc,fr,var,0.00889387633651495,12800,4
posthoc,fz,mspe,0.01224331371486187,12800,4
posthoc,fz,bias2,0.004468895029276609,12800,4
posthoc,fz,var,0.007774419151246548,12800,4
posthoc_orth,y,mspe,1.0082917213439941,12800,4
posthoc_orth,y,bias2,1.006302833557129,12800,4
posthoc_orth,y,var,0.001989021198824048,12800,4
posthoc_orth,fx,mspe,0.02196860872209072,12800,4
posthoc_orth,fx,bias2,0.020374316722154617,12800,4
posthoc_orth,fx,var,0.0015942921163514256,12800,4
posthoc_orth,fr,mspe,0.21102210879325867,12800,4
posthoc_orth,fr,bias2,0.1796494722366333,12800,4
posthoc_orth,fr,var,0.03137264400720596,12800,4
posthoc_orth,fz,mspe,0.019875608384609222,12800,4
posthoc_orth,fz,bias2,0.01965896040201187,12800,4
posthoc_orth,fz,var,0.00021664600353688002,12800,4
base,y,mspe,1.0173615217208862,12800,512
base,y,bias2,1.0161564350128174,12800,512
base,y,var,0.0012050087098032236,12800,512
base,fx,mspe,0.07294859737157822,12800,512
base,fx,bias2,0.07204584032297134,12800,512
base,fx,var,0.0009027538471855223,12800,512
base,fr,mspe,0.16511482000350952,12800,512
base,fr,bias2,0.16421207785606384,12800,512
base,fr,var,0.0009027538471855223,12800,512
base,fz,mspe,0.07795459032058716,12800,512
base,fz,bias2,0.07795459032058716,12800,512
base,fz,var,0.0,12800,512
posthoc,y,mspe,1.005126953125,12800,512
posthoc,y,bias2,1.0034629106521606,12800,512
posthoc,y,var,0.0016639784444123507,12800,512
posthoc,fx,mspe,0.006397330667823553,12800,512
posthoc,fx,bias2,0.001539292628876865,12800,512
posthoc,fx,var,0.004858037456870079,12800,512
posthoc,fr,mspe,0.03563197702169418,12800,512
posthoc,fr,bias2,0.030773939564824104,12800,512
posthoc,fr,var,0.004858037456870079,12800,512
posthoc,fz,mspe,0.005173780955374241,12800,512
posthoc,fz,bias2,0.0011518577812239528,12800,512
posthoc,fz,var,0.004021923057734966,12800,512
posthoc_orth,y,mspe,1.0051268339157104,12800,512
posthoc_orth,y,bias2,1.0034629106521606,12800,512
posthoc_orth,y,var,0.0016639780951663852,12800,512
posthoc_orth,fx,mspe,0.020993273705244064,12800,512
posthoc_orth,fx,bias2,0.019708165898919106,12800,512
posthoc_orth,fx,var,0.0012851053616032004,12800,512
posthoc_orth,fr,mspe,0.14263781905174255,12800,512
posthoc_orth,fr,bias2,0.126771941781044,12800,512
posthoc_orth,fr,var,0.01586587354540825,12800,512
posthoc_orth,fz,mspe,0.01987561024725437,12800,512
posthoc_orth,fz,bias2,0.01965896412730217,12800,512
posthoc_orth,fz,var,0.00021664626547135413,12800,512
base,y,mspe,1.0174853801727295,12800,64
base,y,bias2,1.0163757801055908,12800,64
base,y,var,0.0011097181122750044,12800,64
base,fx,mspe,0.07359060645103455,12800,64
base,fx,bias2,0.07274064421653748,12800,64
base,fx,var,0.0008499548421241343,12800,64
base,fr,mspe,0.16607080399990082,12800,64
base,fr,bias2,0.16522085666656494,12800,64
base,fr,var,0.0008499548421241343,12800,64
base,fz,mspe,0.07795459032058716,12800,64
base,fz,bias2,0.07795459032058716,12800,64
base,fz,var,0.0,12800,64
posthoc,y,mspe,1.0054965019226074,12800,64
posthoc,y,bias2,1.0036280155181885,12800,64
posthoc,y,var,0.0018684676615521312,12800,64
posthoc,fx,mspe,0.006837495602667332,12800,64
posthoc,fx,bias2,0.0008483693236485124,12800,64
posthoc,fx,var,0.005989125929772854,12800,64
posthoc,fr,mspe,0.03335738554596901,12800,64
posthoc,fr,bias2,0.02736825868487358,12800,64
posthoc,fr,var,0.005989125929772854,12800,64
posthoc,fz,mspe,0.005500254221260548,12800,64
posthoc,fz,bias2,0.0005990715580992401,12800,64
posthoc,fz,var,0.00490118283778429,12800,64
posthoc_orth,y,mspe,1.0054974555969238,12800,64
posthoc_orth,y,bias2,1.003628134727478,12800,64
posthoc_orth,y,var,0.001869344967417419,12800,64
posthoc_orth,fx,mspe,0.02116774022579193,12800,64
posthoc_orth,fx,bias2,0.019673466682434082,12800,64
posthoc_orth,fx,var,0.0014942730776965618,12800,64
posthoc_orth,fr,mspe,0.13390062749385834,12800,64
posthoc_orth,fr,bias2,0.11352157592773438,12800,64
posthoc_orth,fr,var,0.02037903480231762,12800,64
posthoc_orth,fz,mspe,0.019875608384609222,12800,64
posthoc_orth,fz,bias2,0.01965896226465702,12800,64
posthoc_orth,fz,var,0.00021664649830199778,12800,64
base,y,mspe,1.0176551342010498,12800,8
base,y,bias2,1.0168139934539795,12800,8
base,y,var,0.0008412274764850736,12800,8
base,fx,mspe,0.0734129399061203,12800,8
base,fx,bias2,0.07278111577033997,12800,8
base,fx,var,0.0006318236701190472,12800,8
base,fr,mspe,0.1658332496881485,12800,8
base,fr,bias2,0.16520141065120697,12800,8
base,fr,var,0.0006318236701190472,12800,8
base,fz,mspe,0.07795459032058716,12800,8
base,fz,bias2,0.07795459032058716,12800,8
base,fz,var,0.0,12800,8
posthoc,y,mspe,1.005845069885254,12800,8
posthoc,y,bias2,1.0040009021759033,12800,8
posthoc,y,var,0.0018443187000229955,12800,8
posthoc,fx,mspe,0.008137359283864498,12800,8
posthoc,fx,bias2,0.0012206131359562278,12800,8
posthoc,fx,var,0.0069167460314929485,12800,8
posthoc,fr,mspe,0.035463847219944,12800,8
posthoc,fr,bias2,0.028547100722789764,12800,8
posthoc,fr,var,0.0069167460314929485,12800,8
posthoc,fz,mspe,0.006586427800357342,12800,8
posthoc,fz,bias2,0.0007231251802295446,12800,8
posthoc,fz,var,0.005863302852958441,12800,8
posthoc_orth,y,mspe,1.0058448314666748,12800,8
posthoc_orth,y,bias2,1.0040006637573242,12800,8
posthoc_orth,y,var,0.0018441352294757962,12800,8
posthoc_orth,fx,mspe,0.021232128143310547,12800,8
posthoc_orth,fx,bias2,0.01976013369858265,12800,8
posthoc_orth,fx,var,0.0014719957252964377,12800,8
posthoc_orth,fr,mspe,0.14035232365131378,12800,8
posthoc_orth,fr,bias2,0.11684005707502365,12800,8
posthoc_orth,fr,var,0.023512255400419235,12800,8
posthoc_orth,fz,mspe,0.01987561769783497,12800,8
posthoc_orth,fz,bias2,0.019658971577882767,12800,8
posthoc_orth,fz,var,0.00021664530504494905,12800,8
base,y,mspe,1.0220681428909302,1600,1024
base,y,bias2,1.01630437374115,1600,1024
base,y,var,0.005763787776231766,1600,1024
base,fx,mspe,0.08116733282804489,1600,1024
base,fx,bias2,0.07707247138023376,1600,1024
base,fx,var,0.004094873089343309,1600,1024
base,fr,mspe,0.17583194375038147,1600,1024
base,fr,bias2,0.17173710465431213,1600,1024
base,fr,var,0.004094873089343309,1600,1024
base,fz,mspe,0.07795459032058716,1600,1024
base,fz,bias2,0.07795459032058716,1600,1024
base,fz,var,0.0,1600,1024
posthoc,y,mspe,1.0131686925888062,1600,1024
posthoc,y,bias2,1.0036368370056152,1600,1024
posthoc,y,var,0.009531788527965546,1600,1024
posthoc,fx,mspe,0.019747376441955566,1600,1024
posthoc,fx,bias2,0.003401076188310981,1600,1024
posthoc,fx,var,0.016346300020813942,1600,1024
posthoc,fr,mspe,0.04985072463750839,1600,1024
posthoc,fr,bias2,0.0335044302046299,1600,1024
posthoc,fr,var,0.016346300020813942,1600,1024
posthoc,fz,mspe,0.015406754799187183,1600,1024
posthoc,fz,bias2,0.0008939645485952497,1600,1024
posthoc,fz,var,0.01451279129832983,1600,1024
posthoc_orth,y,mspe,1.0131686925888062,1600,1024
posthoc_orth,y,bias2,1.0036368370056152,1600,1024
posthoc_orth,y,var,0.009531784802675247,1600,1024
posthoc_orth,fx,mspe,0.026712222024798393,1600,1024
posthoc_orth,fx,bias2,0.02126336097717285,1600,1024
posthoc_orth,fx,var,0.005448860116302967,1600,1024
posthoc_orth,fr,mspe,0.1835903525352478,1600,1024
posthoc_orth,fr,bias2,0.13141769170761108,1600,1024
posthoc_orth,fr,var,0.05217266455292702,1600,1024
posthoc_orth,fz,mspe,0.024358443915843964,1600,1024
posthoc_orth,fz,bias2,0.02166008949279785,1600,1024
posthoc_orth,fz,var,0.0026983553543686867,1600,1024
base,y,mspe,1.0215389728546143,1600,128
base,y,bias2,1.0170680284500122,1600,128
base,y,var,0.004471074789762497,1600,128
base,fx,mspe,0.07661318778991699,1600,128
base,fx,bias2,0.07333340495824814,1600,128
base,fx,var,0.0032797912135720253,1600,128
base,fr,mspe,0.16932915151119232,1600,128
base,fr,bias2,0.16604934632778168,1600,128
base,fr,var,0.0032797912135720253,1600,128
base,fz,mspe,0.07795459032058716,1600,128
base,fz,bias2,0.07795459032058716,1600,128
base,fz,var,0.0,1600,128
posthoc,y,mspe,1.015364646911621,1600,128
posthoc,y,bias2,1.0051851272583008,1600,128
posthoc,y,var,0.01017950102686882,1600,128
posthoc,fx,mspe,0.027431119233369827,1600,128
posthoc,fx,bias2,0.008087909780442715,1600,128
posthoc,fx,var,0.019343208521604538,1600,128
posthoc,fr,mspe,0.06891807168722153,1600,128
posthoc,fr,bias2,0.04957486689090729,1600,128
posthoc,fr,var,0.019343208521604538,1600,128
posthoc,fz,mspe,0.02138543128967285,1600,128
posthoc,fz,bias2,0.00505458889529109,1600,128
posthoc,fz,var,0.016330840066075325,1600,128
posthoc_orth,y,mspe,1.0153647661209106,1600,128
posthoc_orth,y,bias2,1.0051852464675903,1600,128
posthoc_orth,y,var,0.010179515928030014,1600,128
posthoc_orth,fx,mspe,0.027442069724202156,1600,128
posthoc_orth,fx,bias2,0.021315831691026688,1600,128
posthoc_orth,fx,var,0.006126235704869032,1600,128
posthoc_orth,fr,mspe,0.26178017258644104,1600,128
posthoc_orth,fr,bias2,0.19875602424144745,1600,128
posthoc_orth,fr,var,0.0630241185426712,1600,128
posthoc_orth,fz,mspe,0.02435844950377941,1600,128
posthoc_orth,fz,bias2,0.0216600950807333,1600,128
posthoc_orth,fz,var,0.0026983546558767557,1600,128
base,y,mspe,1.021500587463379,1600,16
base,y,bias2,1.0177316665649414,1600,16
base,y,var,0.003768853610381484,1600,16
base,fx,mspe,0.07462171465158463,1600,16
base,fx,bias2,0.0716250017285347,1600,16
base,fx,var,0.0029967064037919044,1600,16
base,fr,mspe,0.16621649265289307,1600,16
base,fr,bias2,0.16321979463100433,1600,16
base,fr,var,0.0029967064037919044,1600,16
base,fz,mspe,0.07795459032058716,1600,16
base,fz,bias2,0.07795459032058716,1600,16
base,fz,var,0.0,1600,16
posthoc,y,mspe,1.015836238861084,1600,16
posthoc,y,bias2,1.0052281618118286,1600,16
posthoc,y,var,0.010608000680804253,1600,16
posthoc,fx,mspe,0.034235551953315735,1600,16
posthoc,fx,bias2,0.008562812581658363,1600,16
posthoc,fx,var,0.02567274495959282,1600,16
posthoc,fr,mspe,0.07599068433046341,1600,16
posthoc,fr,bias2,0.05031793937087059,1600,16
posthoc,fr,var,0.02567274495959282,1600,16
posthoc,fz,mspe,0.02644576132297516,1600,16
posthoc,fz,bias2,0.005106791388243437,1600,16
posthoc,fz,var,0.021338971331715584,1600,16
posthoc_orth,y,mspe,1.0158369541168213,1600,16
posthoc_orth,y,bias2,1.0052293539047241,1600,16
posthoc_orth,y,var,0.01060766726732254,1600,16
posthoc_orth,fx,mspe,0.028035949915647507,1600,16
posthoc_orth,fx,bias2,0.021473847329616547,1600,16
posthoc_orth,fx,var,0.006562103517353535,1600,16
posthoc_orth,fr,mspe,0.2880086600780487,1600,16
posthoc_orth,fr,bias2,0.19992180168628693,1600,16
posthoc_orth,fr,var,0.08808685094118118,1600,16
posthoc_orth,fz,mspe,0.024358443915843964,1600,16
posthoc_orth,fz,bias2,0.02166008949279785,1600,16
posthoc_orth,fz,var,0.0026983553543686867,1600,16
base,y,mspe,1.0272983312606812,1600,2
base,y,bias2,1.0186043977737427,1600,2
base,y,var,0.00869377888739109,1600,2
base,fx,mspe,0.07619413733482361,1600,2
base,fx,bias2,0.06818624585866928,1600,2
base,fx,var,0.008007890544831753,1600,2
base,fr,mspe,0.16570143401622772,1600,2
base,fr,bias2,0.157693549990654,1600,2
base,fr,var,0.008007890544831753,1600,2
base,fz,mspe,0.07795459032058716,1600,2
base,fz,bias2,0.07795459032058716,1600,2
base,fz,var,0.0,1600,2
posthoc,y,mspe,1.0204859972000122,1600,2
posthoc,y,bias2,1.0112041234970093,1600,2
posthoc,y,var,0.009281841106712818,1600,2
posthoc,fx,mspe,0.04550640657544136,1600,2
posthoc,fx,bias2,0.03008759580552578,1600,2
posthoc,fx,var,0.015418811701238155,1600,2
posthoc,fr,mspe,0.10870575159788132,1600,2
posthoc,fr,bias2,0.09328693151473999,1600,2
posthoc,fr,var,0.015418811701238155,1600,2
posthoc,fz,mspe,0.03405158221721649,1600,2
posthoc,fz,bias2,0.021931137889623642,1600,2
posthoc,fz,var,0.0121204424649477,1600,2
posthoc_orth,y,mspe,1.0204845666885376,1600,2
posthoc_orth,y,bias2,1.011202335357666,1600,2
posthoc_orth,y,var,0.009282181039452553,1600,2
posthoc_orth,fx,mspe,0.03003542497754097,1600,2
posthoc_orth,fx,bias2,0.02480439655482769,1600,2
posthoc_orth,fx,var,0.0052310265600681305,1600,2
posthoc_orth,fr,mspe,0.41496026515960693,1600,2
posthoc_orth,fr,bias2,0.36730021238327026,1600,2
posthoc_orth,fr,var,0.04766004532575607,1600,2
posthoc_orth,fz,mspe,0.024358443915843964,1600,2
posthoc_orth,fz,bias2,0.021660083904862404,1600,2
posthoc_orth,fz,var,0.0026983553543686867,1600,2
base,y,mspe,1.0219393968582153,1600,256
base,y,bias2,1.0167771577835083,1600,256
base,y,var,0.005162134300917387,1600,256
base,fx,mspe,0.07769116759300232,1600,256
base,fx,bias2,0.07409875839948654,1600,256
base,fx,var,0.0035924098920077085,1600,256
base,fr,mspe,0.1708366423845291,1600,256
base,fr,bias2,0.16724422574043274,1600,256
base,fr,var,0.0035924098920077085,1600,256
base,fz,mspe,0.07795459032058716,1600,256
base,fz,bias2,0.07795459032058716,1600,256
base,fz,var,0.0,1600,256
posthoc,y,mspe,1.0173166990280151,1600,256
posthoc,y,bias2,1.0055996179580688,1600,256
posthoc,y,var,0.01171707734465599,1600,256
posthoc,fx,mspe,0.0309901125729084,1600,256
posthoc,fx,bias2,0.007640545256435871,1600,256
posthoc,fx,var,0.023349566385149956,1600,256
posthoc,fr,mspe,0.07122685760259628,1600,256
posthoc,fr,bias2,0.047877293080091476,1600,256
posthoc,fr,var,0.023349566385149956,1600,256
posthoc,fz,mspe,0.023607788607478142,1600,256
posthoc,fz,bias2,0.004364467691630125,1600,256
posthoc,fz,var,0.01924331858754158,1600,256
posthoc_orth,y,mspe,1.01737642288208,1600,256
posthoc_orth,y,bias2,1.005616307258606,1600,256
posthoc_orth,y,var,0.01176003459841013,1600,256
