n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
12800,1.0,0.8,1,32,posthoc_orth,fr,bias2,6.974609e-05,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth,fr,var,0.0009642218,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,y,mspe,1.0054017,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,y,bias2,1.0028968,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,y,var,0.0025048882,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fx,mspe,0.021767084,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fx,bias2,0.019502886,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fx,var,0.0022641972,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fz,mspe,0.01939112,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fz,bias2,0.019236308,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fz,var,0.00015480991,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fr,mspe,0.0022850973,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fr,bias2,2.0900341e-05,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_orth_lam0,fr,var,0.0022641972,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,y,mspe,1.2136438,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,y,bias2,1.2129365,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,y,var,0.00070717337,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,fx,mspe,0.02477793,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,fx,bias2,0.024241123,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
