setting,sim_id,method,mspe_fx,mspe_fr,mspe_y,mean_fx_hat,var_fx_hat,n_total,outcome_type,q,bz,cv1
fig1b_gauss_bz0,0,base_full,0.018144257366657257,0.005165979731827974,1.0244261026382446,-0.021940402686595917,0.079377681016922,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,0,base_half,0.01474976446479559,0.016397859901189804,1.0184189081192017,-0.004791340325027704,0.05894298478960991,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,0,posthoc,0.024764113128185272,0.018634594976902008,1.0297532081604004,0.020721102133393288,0.04870355501770973,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,0,posthoc_same_sample,0.016847645863890648,0.006421791389584541,1.0288864374160767,-0.02132759615778923,0.08241686224937439,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,1,base_full,0.019980769604444504,0.06572220474481583,1.0348221063613892,-0.014486022293567657,0.16037815809249878,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,1,base_half,0.01241324283182621,0.04328368976712227,1.0107338428497314,-0.01934260129928589,0.10264383256435394,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,1,posthoc,0.01151030883193016,0.04725294187664986,1.0294699668884277,0.027637453749775887,0.11688975244760513,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,1,posthoc_same_sample,0.0328698456287384,0.09214956313371658,1.0318137407302856,-0.016521144658327103,0.18281836807727814,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,2,base_full,0.038830824196338654,0.10769353806972504,1.0372408628463745,0.046808838844299316,0.23666971921920776,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,2,base_half,0.038868267089128494,0.1002993956208229,1.0455009937286377,0.03252570331096649,0.23331981897354126,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,2,posthoc,0.026608671993017197,0.07992233335971832,1.070644497871399,0.036871522665023804,0.19010500609874725,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,2,posthoc_same_sample,0.020396260544657707,0.07068917155265808,1.0173946619033813,0.043225061148405075,0.20529292523860931,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,3,base_full,0.023974690586328506,0.06287980824708939,1.0235989093780518,0.012801598757505417,0.0792045146226883,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,3,base_half,0.027877578511834145,0.07508117705583572,1.0177115201950073,0.06249089166522026,0.09900349378585815,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,3,posthoc,0.0382881760597229,0.10805390030145645,1.0154117345809937,-0.037888675928115845,0.18410392105579376,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,3,posthoc_same_sample,0.026454400271177292,0.08572293072938919,1.0238810777664185,0.017460310831665993,0.15436682105064392,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,4,base_full,0.024204963818192482,0.057150259613990784,1.0212384462356567,-0.029572589322924614,0.09971918165683746,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,4,base_half,0.030103297904133797,0.02828000858426094,1.0288809537887573,-0.015319342724978924,0.053462009876966476,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,4,posthoc,0.10313001275062561,0.04306305572390556,1.0317785739898682,0.019765740260481834,0.16371142864227295,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,4,posthoc_same_sample,0.029473531991243362,0.04861469194293022,1.0231051445007324,-0.021177558228373528,0.05962283909320831,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,5,base_full,0.022126970812678337,0.021086687222123146,1.0343635082244873,0.05577853322029114,0.09675782173871994,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,5,base_half,0.07773973792791367,0.07492151856422424,1.0705488920211792,-0.002487043384462595,0.006002630107104778,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,5,posthoc,0.010413023643195629,0.05128970742225647,1.0254782438278198,0.05511990562081337,0.12672622501850128,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,5,posthoc_same_sample,0.058036014437675476,0.11787598580121994,1.0704118013381958,0.07337262481451035,0.18472881615161896,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,6,base_full,0.016062282025814056,0.038676921278238297,1.0583246946334839,-0.032782748341560364,0.19723433256149292,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,6,base_half,0.017479183152318,0.013413317501544952,1.0582236051559448,-0.04473888501524925,0.12381042540073395,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,6,posthoc,0.06935375183820724,0.01982971653342247,1.004934310913086,-0.02257201448082924,0.11958599090576172,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,6,posthoc_same_sample,0.045681182295084,0.08945462852716446,1.0846049785614014,-0.02885672077536583,0.2610420286655426,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,7,base_full,0.017416615039110184,0.011920064687728882,1.026564359664917,-0.028083935379981995,0.16582755744457245,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,7,base_half,0.02735486999154091,0.004710644483566284,1.0340532064437866,-0.03547465801239014,0.1244264617562294,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,7,posthoc,0.026080332696437836,0.012240756303071976,1.036055088043213,0.023428473621606827,0.17454937100410461,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,7,posthoc_same_sample,0.033050619065761566,0.0239079762250185,1.0659352540969849,-0.031093114987015724,0.12621602416038513,400,continuous,32,0.0,0.8
fig1b_gauss_bz0,8,base_full,0.025133704766631126,0.08139841258525848,1.026435375213623,-0.03854861482977867,0.18638822436332703,400,continuous,32,0.0,0.8
