model,effect,metric,value,bz,n
posthoc_orth,fr,bias2,0.00031956564635038376,0.5,12800
posthoc_orth,fr,var,0.001751659088768065,0.5,12800
posthoc_orth,fz,mspe,0.020326126366853714,0.5,12800
posthoc_orth,fz,bias2,0.020066246390342712,0.5,12800
posthoc_orth,fz,var,0.0002598782884888351,0.5,12800
posthoc_orth_lam0,y,mspe,1.2709481716156006,0.5,12800
posthoc_orth_lam0,y,bias2,1.0030097961425781,0.5,12800
posthoc_orth_lam0,y,var,0.267938494682312,0.5,12800
posthoc_orth_lam0,fx,mspe,0.2909668982028961,0.5,12800
posthoc_orth_lam0,fx,bias2,0.023419838398694992,0.5,12800
posthoc_orth_lam0,fx,var,0.267547070980072,0.5,12800
posthoc_orth_lam0,fr,mspe,0.2699545919895172,0.5,12800
posthoc_orth_lam0,fr,bias2,0.0024075331166386604,0.5,12800
posthoc_orth_lam0,fr,var,0.267547070980072,0.5,12800
posthoc_orth_lam0,fz,mspe,0.020325344055891037,0.5,12800
posthoc_orth_lam0,fz,bias2,0.020065534859895706,0.5,12800
posthoc_orth_lam0,fz,var,0.000259811436990276,0.5,12800
posthoc_web,y,mspe,1.2503576278686523,0.5,12800
posthoc_web,y,bias2,1.2464393377304077,0.5,12800
posthoc_web,y,var,0.003918181173503399,0.5,12800
posthoc_web,fx,mspe,0.025748236104846,0.5,12800
posthoc_web,fx,bias2,0.024402594193816185,0.5,12800
posthoc_web,fx,var,0.0013456420274451375,0.5,12800
posthoc_web,fr,mspe,0.005516589153558016,0.5,12800
posthoc_web,fr,bias2,0.0041709463112056255,0.5,12800
posthoc_web,fr,var,0.0013456420274451375,0.5,12800
posthoc_web,fz,mspe,0.01948864758014679,0.5,12800
posthoc_web,fz,bias2,0.01948864758014679,0.5,12800
posthoc_web,fz,var,0.0,0.5,12800
base,y,mspe,1.0523648262023926,1,12800
base,y,bias2,1.0500805377960205,1,12800
base,y,var,0.002284219954162836,1,12800
base,fx,mspe,0.049924179911613464,1,12800
base,fx,bias2,0.04832293465733528,1,12800
