n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.1,1,32,posthoc_orth,fx,bias2,0.0009010969,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth,fx,var,0.0029373772,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth,fz,mspe,0.0017234616,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth,fz,bias2,0.00079707033,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth,fz,var,0.0009263914,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth,fr,mspe,0.01532084,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth,fr,bias2,0.012383462,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth,fr,var,0.0029373772,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,y,mspe,1.0171018,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,y,bias2,1.0035012,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,y,var,0.013600499,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,fx,mspe,0.0134990215,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,fx,bias2,0.0010846623,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,fx,var,0.01241436,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,fz,mspe,0.0017297909,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,fz,bias2,0.000803158,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,fz,var,0.0009266329,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,fr,mspe,0.024505783,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
