model,effect,metric,value,n
posthoc_orth,fr,mspe,0.2701229751110077,3200
posthoc_orth,fr,bias2,0.233434796333313,3200
posthoc_orth,fr,var,0.0366881862282753,3200
posthoc_orth,fz,mspe,0.02370176464319229,3200
posthoc_orth,fz,bias2,0.022457009181380272,3200
posthoc_orth,fz,var,0.001244756975211203,3200
base,y,mspe,1.0780644416809082,400
base,y,bias2,1.0303092002868652,400
base,y,var,0.047755345702171326,400
base,fx,mspe,0.08182403445243835,400
base,fx,bias2,0.036676641553640366,400
base,fx,var,0.04514739662408829,400
base,fr,mspe,0.14789125323295593,400
base,fr,bias2,0.10274385660886765,400
base,fr,var,0.04514739662408829,400
base,fz,mspe,0.07795459032058716,400
base,fz,bias2,0.07795459032058716,400
base,fz,var,0.0,400
posthoc,y,mspe,1.0493987798690796,400
posthoc,y,bias2,1.0069211721420288,400
posthoc,y,var,0.04247764125466347,400
posthoc,fx,mspe,0.09316982328891754,400
posthoc,fx,bias2,0.005059925839304924,400
posthoc,fx,var,0.08810991048812866,400
posthoc,fr,mspe,0.12075719982385635,400
posthoc,fr,bias2,0.03264730051159859,400
posthoc,fr,var,0.08810991048812866,400
posthoc,fz,mspe,0.06826459616422653,400
posthoc,fz,bias2,0.0016607055440545082,400
posthoc,fz,var,0.0666038915514946,400
posthoc_orth,y,mspe,1.0493849515914917,400
posthoc_orth,y,bias2,1.0069172382354736,400
posthoc_orth,y,var,0.04246773570775986,400
posthoc_orth,fx,mspe,0.05028029531240463,400
posthoc_orth,fx,bias2,0.02306746505200863,400
posthoc_orth,fx,var,0.027212824672460556,400
posthoc_orth,fr,mspe,0.39107000827789307,400
posthoc_orth,fr,bias2,0.11707660555839539,400
posthoc_orth,fr,var,0.2739934027194977,400
posthoc_orth,fz,mspe,0.026662740856409073,400
posthoc_orth,fz,bias2,0.015768609941005707,400
posthoc_orth,fz,var,0.010894128121435642,400
base,y,mspe,1.0185797214508057,6400
base,y,bias2,1.0168322324752808,6400
base,y,var,0.0017475354252383113,6400
base,fx,mspe,0.07643911242485046,6400
base,fx,bias2,0.07502850890159607,6400
base,fx,var,0.0014105960726737976,6400
base,fr,mspe,0.16995769739151,6400
base,fr,bias2,0.16854709386825562,6400
base,fr,var,0.0014105960726737976,6400
base,fz,mspe,0.07795459032058716,6400
base,fz,bias2,0.07795459032058716,6400
base,fz,var,0.0,6400
posthoc,y,mspe,1.0089703798294067,6400
posthoc,y,bias2,1.0053882598876953,6400
posthoc,y,var,0.0035820542834699154,6400
posthoc,fx,mspe,0.017835671082139015,6400
posthoc,fx,bias2,0.007608445826917887,6400
posthoc,fx,var,0.010227224789559841,6400
posthoc,fr,mspe,0.06020365655422211,6400
posthoc,fr,bias2,0.04997643455862999,6400
posthoc,fr,var,0.010227224789559841,6400
posthoc,fz,mspe,0.015816807746887207,6400
posthoc,fz,bias2,0.007876882329583168,6400
posthoc,fz,var,0.007939924485981464,6400
posthoc_orth,y,mspe,1.0089694261550903,6400
