n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.8,1,1024,posthoc_orth,fr,mspe,0.004439228,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth,fr,bias2,0.001005278,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth,fr,var,0.0034339505,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,y,mspe,1.0253346,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,y,bias2,1.0039198,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,y,var,0.021414682,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fx,mspe,0.040322307,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fx,bias2,0.02014825,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fx,var,0.02017406,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fz,mspe,0.02045264,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fz,bias2,0.019503871,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fz,var,0.0009487692,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fr,mspe,0.020429831,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fr,bias2,0.00025577022,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_orth_lam0,fr,var,0.02017406,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,y,mspe,1.2153494,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,y,bias2,1.21279,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,y,var,0.0025593494,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
