model,effect,metric,value,n,p
posthoc,fr,var,0.006874095648527145,12800,4
posthoc,fz,mspe,0.01072909589856863,12800,4
posthoc,fz,bias2,0.00499652000144124,12800,4
posthoc,fz,var,0.005732576362788677,12800,4
posthoc_orth,y,mspe,1.0766644477844238,12800,4
posthoc_orth,y,bias2,1.0731866359710693,12800,4
posthoc_orth,y,var,0.003477775491774082,12800,4
posthoc_orth,fx,mspe,0.02460533380508423,12800,4
posthoc_orth,fx,bias2,0.022585291415452957,12800,4
posthoc_orth,fx,var,0.002020041225478053,12800,4
posthoc_orth,fr,mspe,0.6645234823226929,12800,4
posthoc_orth,fr,bias2,0.6036871075630188,12800,4
posthoc_orth,fr,var,0.06083626672625542,12800,4
posthoc_orth,fz,mspe,0.022488536313176155,12800,4
posthoc_orth,fz,bias2,0.020951785147190094,12800,4
posthoc_orth,fz,var,0.0015367516316473484,12800,4
base,y,mspe,1.0378152132034302,12800,8
base,y,bias2,1.0353960990905762,12800,8
base,y,var,0.0024191574193537235,12800,8
base,fx,mspe,0.07251661270856857,12800,8
base,fx,bias2,0.07032278180122375,12800,8
base,fx,var,0.0021938313730061054,12800,8
base,fr,mspe,0.1642492264509201,12800,8
base,fr,bias2,0.16205541789531708,12800,8
base,fr,var,0.0021938313730061054,12800,8
base,fz,mspe,0.08219289779663086,12800,8
base,fz,bias2,0.08219289034605026,12800,8
base,fz,var,0.0,12800,8
posthoc,y,mspe,1.0349727869033813,12800,8
posthoc,y,bias2,1.0299378633499146,12800,8
posthoc,y,var,0.005035048816353083,12800,8
posthoc,fx,mspe,0.015216431580483913,12800,8
posthoc,fx,bias2,0.007561005186289549,12800,8
posthoc,fx,var,0.0076554263941943645,12800,8
posthoc,fr,mspe,0.05420182645320892,12800,8
posthoc,fr,bias2,0.04654639586806297,12800,8
posthoc,fr,var,0.0076554263941943645,12800,8
posthoc,fz,mspe,0.015086847357451916,12800,8
posthoc,fz,bias2,0.0067271888256073,12800,8
posthoc,fz,var,0.00835965946316719,12800,8
posthoc_orth,y,mspe,1.034969687461853,12800,8
posthoc_orth,y,bias2,1.029936671257019,12800,8
posthoc_orth,y,var,0.0050329603254795074,12800,8
posthoc_orth,fx,mspe,0.024398941546678543,12800,8
posthoc_orth,fx,bias2,0.021922867745161057,12800,8
posthoc_orth,fx,var,0.0024760751985013485,12800,8
posthoc_orth,fr,mspe,1.1645560264587402,12800,8
posthoc_orth,fr,bias2,1.0622162818908691,12800,8
posthoc_orth,fr,var,0.10233968496322632,12800,8
posthoc_orth,fz,mspe,0.0225185826420784,12800,8
posthoc_orth,fz,bias2,0.019770504906773567,12800,8
posthoc_orth,fz,var,0.0027480763383209705,12800,8
base,y,mspe,1.021823763847351,1600,1
base,y,bias2,1.0176488161087036,1600,1
base,y,var,0.004174979403614998,1600,1
base,fx,mspe,0.0787140280008316,1600,1
base,fx,bias2,0.07554098963737488,1600,1
base,fx,var,0.0031730281189084053,1600,1
base,fr,mspe,0.17238843441009521,1600,1
base,fr,bias2,0.16921541094779968,1600,1
base,fr,var,0.0031730281189084053,1600,1
base,fz,mspe,0.07795459032058716,1600,1
base,fz,bias2,0.07795459032058716,1600,1
base,fz,var,0.0,1600,1
posthoc,y,mspe,1.0162248611450195,1600,1
posthoc,y,bias2,1.005534052848816,1600,1
posthoc,y,var,0.010690907016396523,1600,1
