model,effect,metric,value,cv1,n
base,fz,mspe,0.07795459032058716,0.3,12800
base,fz,bias2,0.07795459032058716,0.3,12800
base,fz,var,0.0,0.3,12800
posthoc,y,mspe,1.004194974899292,0.3,12800
posthoc,y,bias2,1.0025032758712769,0.3,12800
posthoc,y,var,0.001691663870587945,0.3,12800
posthoc,fx,mspe,0.0019255500519648194,0.3,12800
posthoc,fx,bias2,0.0003518150479067117,0.3,12800
posthoc,fx,var,0.00157373514957726,0.3,12800
posthoc,fr,mspe,0.022366952151060104,0.3,12800
posthoc,fr,bias2,0.020793214440345764,0.3,12800
posthoc,fr,var,0.00157373514957726,0.3,12800
posthoc,fz,mspe,0.0005072704516351223,0.3,12800
posthoc,fz,bias2,1.1938349416595884e-05,0.3,12800
posthoc,fz,var,0.0004953320603817701,0.3,12800
posthoc_orth,y,mspe,1.004195213317871,0.3,12800
posthoc_orth,y,bias2,1.0025033950805664,0.3,12800
posthoc_orth,y,var,0.0016919550253078341,0.3,12800
posthoc_orth,fx,mspe,0.0213161613792181,0.3,12800
posthoc_orth,fx,bias2,0.02000163123011589,0.3,12800
posthoc_orth,fx,var,0.00131452945061028,0.3,12800
posthoc_orth,fr,mspe,0.08950021862983704,0.3,12800
posthoc_orth,fr,bias2,0.0867941677570343,0.3,12800
posthoc_orth,fr,var,0.0027060536667704582,0.3,12800
posthoc_orth,fz,mspe,0.019875608384609222,0.3,12800
posthoc_orth,fz,bias2,0.01965896040201187,0.3,12800
posthoc_orth,fz,var,0.00021664633823093027,0.3,12800
base,y,mspe,1.0590633153915405,0.4,12800
base,y,bias2,1.0580172538757324,0.4,12800
base,y,var,0.0010459668701514602,0.4,12800
base,fx,mspe,0.041849277913570404,0.4,12800
base,fx,bias2,0.0409972183406353,0.4,12800
base,fx,var,0.0008520552655681968,0.4,12800
base,fr,mspe,0.10374260693788528,0.4,12800
base,fr,bias2,0.10289055109024048,0.4,12800
base,fr,var,0.0008520552655681968,0.4,12800
base,fz,mspe,0.07795459032058716,0.4,12800
base,fz,bias2,0.07795459032058716,0.4,12800
base,fz,var,0.0,0.4,12800
posthoc,y,mspe,1.0043387413024902,0.4,12800
posthoc,y,bias2,1.0026421546936035,0.4,12800
posthoc,y,var,0.0016965174581855536,0.4,12800
posthoc,fx,mspe,0.0019516305765137076,0.4,12800
posthoc,fx,bias2,0.0003051393723580986,0.4,12800
posthoc,fx,var,0.0016464912332594395,0.4,12800
posthoc,fr,mspe,0.02241791971027851,0.4,12800
posthoc,fr,bias2,0.02077142708003521,0.4,12800
posthoc,fr,var,0.0016464912332594395,0.4,12800
posthoc,fz,mspe,0.0005729981348849833,0.4,12800
posthoc,fz,bias2,1.1251046998950187e-05,0.4,12800
posthoc,fz,var,0.0005617471178993583,0.4,12800
posthoc_orth,y,mspe,1.004336953163147,0.4,12800
posthoc_orth,y,bias2,1.002642035484314,0.4,12800
posthoc_orth,y,var,0.0016948138363659382,0.4,12800
posthoc_orth,fx,mspe,0.021223189309239388,0.4,12800
posthoc_orth,fx,bias2,0.019900433719158173,0.4,12800
posthoc_orth,fx,var,0.0013227579183876514,0.4,12800
posthoc_orth,fr,mspe,0.08950649201869965,0.4,12800
posthoc_orth,fr,bias2,0.08658617734909058,0.4,12800
posthoc_orth,fr,var,0.0029203069861978292,0.4,12800
posthoc_orth,fz,mspe,0.019875608384609222,0.4,12800
posthoc_orth,fz,bias2,0.01965896226465702,0.4,12800
posthoc_orth,fz,var,0.00021664629457518458,0.4,12800
base,y,mspe,1.0524818897247314,0.5,12800
base,y,bias2,1.0513546466827393,0.5,12800
base,y,var,0.0011272290721535683,0.5,12800
base,fx,mspe,0.04836474731564522,0.5,12800
base,fx,bias2,0.047543298453092575,0.5,12800
base,fx,var,0.0008214496192522347,0.5,12800
base,fr,mspe,0.11676447838544846,0.5,12800
base,fr,bias2,0.11594302952289581,0.5,12800
base,fr,var,0.0008214496192522347,0.5,12800
base,fz,mspe,0.07795459032058716,0.5,12800
base,fz,bias2,0.07795459032058716,0.5,12800
base,fz,var,0.0,0.5,12800
posthoc,y,mspe,1.004978060722351,0.5,12800
posthoc,y,bias2,1.0030632019042969,0.5,12800
posthoc,y,var,0.001914825290441513,0.5,12800
posthoc,fx,mspe,0.002239532768726349,0.5,12800
posthoc,fx,bias2,0.0002651372633408755,0.5,12800
posthoc,fx,var,0.0019743957091122866,0.5,12800
posthoc,fr,mspe,0.02258826047182083,0.5,12800
posthoc,fr,bias2,0.020613865926861763,0.5,12800
posthoc,fr,var,0.0019743957091122866,0.5,12800
posthoc,fz,mspe,0.0006948965601623058,0.5,12800
posthoc,fz,bias2,8.799127499514725e-06,0.5,12800
posthoc,fz,var,0.0006860974244773388,0.5,12800
posthoc_orth,y,mspe,1.0049967765808105,0.5,12800
posthoc_orth,y,bias2,1.0030606985092163,0.5,12800
