early_pat,epochs_nam,lr,mspe_fx,q,sched_pat,status,t_nam_s,t_total_s,wd
6,10,0.001,0.0035021596122533083,4,5,ok,5.357232332229614,5.357232332229614,1e-05
6,19,0.01,0.004815929103642702,2,5,ok,6.79027247428894,6.79027247428894,1e-05
6,8,0.003,0.0043297153897583485,4,5,ok,2.700352191925049,2.700352191925049,1e-05
6,6,0.01,0.0016740798018872738,4,5,ok,2.3061463832855225,2.3061463832855225,1e-05
6,35,0.003,0.021664464846253395,2,5,ok,9.345179796218872,9.345179796218872,1e-05
6,26,0.01,0.009090292267501354,8,5,ok,6.034908294677734,6.034908294677734,1e-05
6,87,0.001,0.03261442482471466,2,5,ok,18.40831708908081,18.40831708908081,1e-05
6,12,0.001,0.011999624781310558,16,5,ok,3.421739339828491,3.421739339828491,1e-05
6,8,0.003,0.009235374629497528,16,5,ok,2.7921302318573,2.7921302318573,1e-05
6,4,0.01,0.012166669592261314,16,5,ok,1.9881815910339355,1.9881815910339355,1e-05
6,65,0.003,0.017020009458065033,8,5,ok,12.466034173965454,12.466034173965454,1e-05
6,74,0.001,0.07640044391155243,8,5,ok,13.80467438697815,13.80467438697815,1e-05
6,17,0.001,0.17196033895015717,32,5,ok,4.230387210845947,4.230387210845947,1e-05
6,25,0.01,0.008475185371935368,32,5,ok,5.537928819656372,5.537928819656372,1e-05
6,19,0.01,0.02252340130507946,64,5,ok,4.777514457702637,4.777514457702637,1e-05
6,57,0.003,0.03151943162083626,32,5,ok,11.101148843765259,11.101148843765259,1e-05
6,18,0.001,0.09715021401643753,128,5,ok,4.719301223754883,4.719301223754883,1e-05
6,66,0.003,0.013328769244253635,64,5,ok,12.990892887115479,12.990892887115479,1e-05
6,39,0.003,0.0350995771586895,128,5,ok,8.338462114334106,8.338462114334106,1e-05
6,10,0.001,0.025413760915398598,256,5,ok,3.185415744781494,3.185415744781494,1e-05
6,107,0.001,0.05223818123340607,64,5,ok,20.532322883605957,20.532322883605957,1e-05
6,10,0.003,0.029762035235762596,256,5,ok,3.0545401573181152,3.0545401573181152,1e-05
6,30,0.01,0.12205873429775238,128,5,ok,6.686955451965332,6.686955451965332,1e-05
6,2,0.001,0.056044816970825195,512,5,ok,1.828705072402954,1.828705072402954,1e-05
6,9,0.01,0.009311135858297348,256,5,ok,2.8914566040039062,2.8914566040039062,1e-05
6,5,0.01,0.01901889219880104,512,5,ok,2.1485190391540527,2.1485190391540527,1e-05
6,7,0.001,0.15135040879249573,1024,5,ok,2.5317506790161133,2.5317506790161133,1e-05
6,15,0.003,0.025755491107702255,512,5,ok,3.789393901824951,3.789393901824951,1e-05
6,5,0.01,0.14612454175949097,1024,5,ok,2.1620078086853027,2.1620078086853027,1e-05
6,45,0.003,0.030008817091584206,1024,5,ok,8.397836923599243,8.397836923599243,1e-05
